c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.1128	20.0000
0.90	0.2257	20.0000
0.85	0.3387	20.0000
0.80	0.4519	20.0000
0.75	0.5652	20.0000
0.70	0.6786	20.0000
0.65	0.7921	20.0000
0.60	0.9057	20.0000
0.55	1.0195	20.0000
0.50	1.1334	20.0000
0.45	1.2474	20.0000
0.40	1.3615	20.0000
0.35	1.4757	20.0000
0.30	1.5901	20.0000
0.25	1.7046	20.0000
0.20	1.8192	20.0000
0.15	1.9340	20.0000
0.10	2.0489	20.0000
0.05	2.1638	20.0000
0.00	2.2790	20.0000
