c	F_rep (kT)
1.00	0.0000	1.0000
0.95	173.6155	1.0000
0.90	361.3511	1.0000
0.85	565.8511	1.0000
0.80	790.6337	1.0000
0.75	1040.5519	1.0000
0.70	1322.6299	1.0000
0.65	1647.7419	1.0000
0.60	2034.5388	1.0000
0.55	2520.7557	1.0000
0.50	3203.9696	1.0000
0.45	4204.4374	1.0000
0.40	5401.9682	1.0000
0.35	6698.9873	1.0000
0.30	8057.7458	1.0000
0.25	9459.5967	1.0000
0.20	10893.6720	1.0000
0.15	12352.9436	1.0000
0.10	13832.5475	1.0000
0.05	15317.4310	2.0000
0.00	16788.5936	2.0000
