c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0030	20.0000
0.90	0.0060	20.0000
0.85	0.0091	20.0000
0.80	0.0121	20.0000
0.75	0.0151	20.0000
0.70	0.0181	20.0000
0.65	0.0211	20.0000
0.60	0.0242	20.0000
0.55	0.0272	20.0000
0.50	0.0302	20.0000
0.45	0.0332	20.0000
0.40	0.0363	20.0000
0.35	0.0393	20.0000
0.30	0.0423	20.0000
0.25	0.0453	20.0000
0.20	0.0483	20.0000
0.15	0.0514	20.0000
0.10	0.0544	20.0000
0.05	0.0574	20.0000
0.00	0.0604	20.0000
