c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0155	20.0000
0.90	0.0310	20.0000
0.85	0.0465	20.0000
0.80	0.0621	20.0000
0.75	0.0776	20.0000
0.70	0.0931	20.0000
0.65	0.1086	20.0000
0.60	0.1242	20.0000
0.55	0.1397	20.0000
0.50	0.1552	20.0000
0.45	0.1708	20.0000
0.40	0.1863	20.0000
0.35	0.2018	20.0000
0.30	0.2174	20.0000
0.25	0.2329	20.0000
0.20	0.2485	20.0000
0.15	0.2640	20.0000
0.10	0.2796	20.0000
0.05	0.2951	20.0000
0.00	0.3107	20.0000
