c	F_rep (kT)
1.00	0.0000	3.0000
0.95	16.8051	3.0000
0.90	34.8040	3.0000
0.85	54.1784	3.0000
0.80	74.9123	4.0000
0.75	97.0688	4.0000
0.70	121.3879	4.0000
0.65	148.3111	4.0000
0.60	178.3245	5.0000
0.55	211.0346	5.0000
0.50	248.0605	5.0000
0.45	288.2942	6.0000
0.40	331.9516	7.0000
0.35	377.9224	8.0000
0.30	425.2120	9.0000
0.25	472.9863	10.0000
0.20	520.2179	12.0000
0.15	566.2246	13.0000
0.10	610.1741	15.0000
0.05	651.5252	17.0000
0.00	689.5828	19.0000
