c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0690	20.0000
0.90	0.1380	20.0000
0.85	0.2070	20.0000
0.80	0.2761	20.0000
0.75	0.3452	20.0000
0.70	0.4144	20.0000
0.65	0.4836	20.0000
0.60	0.5529	20.0000
0.55	0.6222	20.0000
0.50	0.6916	20.0000
0.45	0.7610	20.0000
0.40	0.8304	20.0000
0.35	0.8999	20.0000
0.30	0.9695	20.0000
0.25	1.0391	20.0000
0.20	1.1087	20.0000
0.15	1.1784	20.0000
0.10	1.2481	20.0000
0.05	1.3179	20.0000
0.00	1.3877	20.0000
