c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0013	20.0000
0.90	0.0027	20.0000
0.85	0.0040	20.0000
0.80	0.0054	20.0000
0.75	0.0067	20.0000
0.70	0.0080	20.0000
0.65	0.0094	20.0000
0.60	0.0107	20.0000
0.55	0.0121	20.0000
0.50	0.0134	20.0000
0.45	0.0147	20.0000
0.40	0.0161	20.0000
0.35	0.0174	20.0000
0.30	0.0188	20.0000
0.25	0.0201	20.0000
0.20	0.0214	20.0000
0.15	0.0228	20.0000
0.10	0.0241	20.0000
0.05	0.0255	20.0000
0.00	0.0268	20.0000
