c	F_rep (kT)
1.00	0.0000	1.0000
0.95	170.7232	1.0000
0.90	354.9080	1.0000
0.85	552.0321	2.0000
0.80	765.2151	2.0000
0.75	1000.9293	2.0000
0.70	1264.8447	2.0000
0.65	1565.2233	2.0000
0.60	1914.8353	2.0000
0.55	2334.8608	2.0000
0.50	2858.6815	3.0000
0.45	3497.9853	3.0000
0.40	4236.1501	4.0000
0.35	5026.8015	5.0000
0.30	5840.4063	6.0000
0.25	6656.9780	8.0000
0.20	7452.7145	9.0000
0.15	8215.2729	11.0000
0.10	8926.4969	14.0000
0.05	9573.9157	17.0000
0.00	10139.5151	20.0000
