c	F_rep (kT)
1.00	0.0000	1.0000
0.95	172.0583	1.0000
0.90	357.8629	1.0000
0.85	559.8938	1.0000
0.80	781.4042	1.0000
0.75	1026.7966	1.0000
0.70	1302.2116	1.0000
0.65	1616.6088	1.0000
0.60	1983.6714	1.0000
0.55	2424.7529	1.0000
0.50	2968.8454	1.0000
0.45	3633.0746	1.0000
0.40	4400.2930	1.0000
0.35	5241.5227	1.0000
0.30	6135.4252	1.0000
0.25	7068.3097	1.0000
0.20	8031.2167	1.0000
0.15	9018.0008	1.0000
0.10	10024.2499	1.0000
0.05	11046.7596	1.0000
0.00	12082.9515	1.0000
