c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0422	20.0000
0.90	0.0843	20.0000
0.85	0.1265	20.0000
0.80	0.1687	20.0000
0.75	0.2109	20.0000
0.70	0.2532	20.0000
0.65	0.2954	20.0000
0.60	0.3377	20.0000
0.55	0.3800	20.0000
0.50	0.4223	20.0000
0.45	0.4646	20.0000
0.40	0.5070	20.0000
0.35	0.5493	20.0000
0.30	0.5917	20.0000
0.25	0.6341	20.0000
0.20	0.6765	20.0000
0.15	0.7189	20.0000
0.10	0.7614	20.0000
0.05	0.8038	20.0000
0.00	0.8463	20.0000
