c	F_rep (kT)
1.00	0.0000	20.0000
0.95	1.9828	20.0000
0.90	3.9696	20.0000
0.85	5.9605	20.0000
0.80	7.9554	20.0000
0.75	9.9545	20.0000
0.70	11.9577	20.0000
0.65	13.9650	20.0000
0.60	15.9765	20.0000
0.55	17.9921	20.0000
0.50	20.0120	20.0000
0.45	22.0360	20.0000
0.40	24.0643	20.0000
0.35	26.0969	20.0000
0.30	28.1337	20.0000
0.25	30.1748	20.0000
0.20	32.2202	20.0000
0.15	34.2700	20.0000
0.10	36.3241	20.0000
0.05	38.3826	20.0000
0.00	40.4455	20.0000
