c	F_rep (kT)
1.00	0.0000	1.0000
0.95	93.0803	1.0000
0.90	188.8196	1.0000
0.85	287.2955	1.0000
0.80	388.5815	1.0000
0.75	492.7442	1.0000
0.70	599.8420	1.0000
0.65	709.9262	1.0000
0.60	823.0368	1.0000
0.55	939.2039	1.0000
0.50	1058.4451	1.0000
0.45	1180.7677	1.0000
0.40	1306.1644	1.0000
0.35	1434.6181	1.0000
0.30	1566.0980	1.0000
0.25	1700.5645	1.0000
0.20	1837.9661	1.0000
0.15	1978.2440	1.0000
0.10	2121.3311	1.0000
0.05	2267.1529	1.0000
0.00	2415.6345	1.0000
