c	F_rep (kT)
1.00	0.0000	11.0000
0.95	65.4398	11.0000
0.90	133.2480	11.0000
0.85	201.4227	12.0000
0.80	270.6924	12.0000
0.75	342.6278	12.0000
0.70	415.5231	13.0000
0.65	489.0459	13.0000
0.60	565.5382	13.0000
0.55	641.4410	14.0000
0.50	719.5479	14.0000
0.45	798.3644	15.0000
0.40	877.8893	15.0000
0.35	958.2647	16.0000
0.30	1038.9076	16.0000
0.25	1119.4624	17.0000
0.20	1200.8161	17.0000
0.15	1280.1475	18.0000
0.10	1360.1344	19.0000
0.05	1438.3996	19.0000
0.00	1514.8236	20.0000
