c	F_rep (kT)
1.00	0.0000	1.0000
0.95	17.8732	1.0000
0.90	36.9949	1.0000
0.85	57.5415	1.0000
0.80	79.7242	1.0000
0.75	103.7949	1.0000
0.70	130.0501	1.0000
0.65	158.8290	1.0000
0.60	190.4965	1.0000
0.55	225.4016	1.0000
0.50	263.8063	1.0000
0.45	305.8097	1.0000
0.40	351.3127	1.0000
0.35	400.0535	1.0000
0.30	451.6832	1.0000
0.25	505.8369	1.0000
0.20	562.1752	1.0000
0.15	620.4017	1.0000
0.10	680.2645	1.0000
0.05	741.5527	1.0000
0.00	804.0903	1.0000
