c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0093	20.0000
0.90	0.0186	20.0000
0.85	0.0279	20.0000
0.80	0.0373	20.0000
0.75	0.0466	20.0000
0.70	0.0559	20.0000
0.65	0.0652	20.0000
0.60	0.0745	20.0000
0.55	0.0838	20.0000
0.50	0.0932	20.0000
0.45	0.1025	20.0000
0.40	0.1118	20.0000
0.35	0.1211	20.0000
0.30	0.1304	20.0000
0.25	0.1398	20.0000
0.20	0.1491	20.0000
0.15	0.1584	20.0000
0.10	0.1677	20.0000
0.05	0.1771	20.0000
0.00	0.1864	20.0000
