c	F_rep (kT)
1.00	0.0000	1.0000
0.95	173.7960	1.0000
0.90	361.7971	1.0000
0.85	566.5785	1.0000
0.80	791.8693	1.0000
0.75	1042.4302	1.0000
0.70	1325.5479	1.0000
0.65	1652.2883	1.0000
0.60	2042.2908	1.0000
0.55	2537.6494	1.0000
0.50	3296.8552	1.0000
0.45	4712.5587	1.0000
0.40	6392.1313	1.0000
0.35	8177.0369	1.0000
0.30	10025.1928	1.0000
0.25	11917.0548	1.0000
0.20	13841.4005	1.0000
0.15	15791.0609	1.0000
0.10	17761.0559	1.0000
0.05	19747.9678	1.0000
0.00	21749.0179	1.0000
