c	F_rep (kT)
1.00	0.0000	20.0000
0.95	1.2213	20.0000
0.90	2.4441	20.0000
0.85	3.6686	20.0000
0.80	4.8945	20.0000
0.75	6.1221	20.0000
0.70	7.3512	20.0000
0.65	8.5819	20.0000
0.60	9.8141	20.0000
0.55	11.0480	20.0000
0.50	12.2834	20.0000
0.45	13.5205	20.0000
0.40	14.7591	20.0000
0.35	15.9993	20.0000
0.30	17.2412	20.0000
0.25	18.4846	20.0000
0.20	19.7297	20.0000
0.15	20.9764	20.0000
0.10	22.2247	20.0000
0.05	23.4747	20.0000
0.00	24.7263	20.0000
