c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.1825	20.0000
0.90	0.3653	20.0000
0.85	0.5484	20.0000
0.80	0.7319	20.0000
0.75	0.9156	20.0000
0.70	1.0997	20.0000
0.65	1.2840	20.0000
0.60	1.4687	20.0000
0.55	1.6538	20.0000
0.50	1.8391	20.0000
0.45	2.0247	20.0000
0.40	2.2107	20.0000
0.35	2.3970	20.0000
0.30	2.5836	20.0000
0.25	2.7706	20.0000
0.20	2.9579	20.0000
0.15	3.1455	20.0000
0.10	3.3334	20.0000
0.05	3.5217	20.0000
0.00	3.7103	20.0000
