c	F_rep (kT)
1.00	0.0000	1.0000
0.95	173.8271	1.0000
0.90	361.8270	1.0000
0.85	566.6665	1.0000
0.80	791.9015	1.0000
0.75	1042.4520	1.0000
0.70	1325.4757	1.0000
0.65	1652.1554	1.0000
0.60	2042.0428	1.0000
0.55	2536.9909	1.0000
0.50	3290.9113	1.0000
0.45	4665.3671	1.0000
0.40	6299.8103	1.0000
0.35	8040.2723	1.0000
0.30	9844.7987	1.0000
0.25	11693.7930	1.0000
0.20	13576.0094	1.0000
0.15	15462.8537	2.0000
0.10	17337.7760	3.0000
0.05	19170.5237	4.0000
0.00	20941.5260	6.0000
