c	F_rep (kT)
1.00	0.0000	1.0000
0.95	173.5971	1.0000
0.90	361.3134	1.0000
0.85	565.7882	1.0000
0.80	790.5383	1.0000
0.75	1040.4115	1.0000
0.70	1322.4254	1.0000
0.65	1647.4337	1.0000
0.60	2034.0179	1.0000
0.55	2519.6746	1.0000
0.50	3200.1108	1.0000
0.45	4191.4204	1.0000
0.40	5377.7814	1.0000
0.35	6663.4971	1.0000
0.30	8011.0514	1.0000
0.25	9401.8476	1.0000
0.20	10825.0167	1.0000
0.15	12273.5321	1.0000
0.10	13707.4131	2.0000
0.05	15149.2437	3.0000
0.00	16569.8706	4.0000
