c	F_rep (kT)
1.00	0.0000	20.0000
0.95	0.0256	20.0000
0.90	0.0513	20.0000
0.85	0.0769	20.0000
0.80	0.1025	20.0000
0.75	0.1282	20.0000
0.70	0.1538	20.0000
0.65	0.1795	20.0000
0.60	0.2052	20.0000
0.55	0.2309	20.0000
0.50	0.2565	20.0000
0.45	0.2822	20.0000
0.40	0.3079	20.0000
0.35	0.3336	20.0000
0.30	0.3593	20.0000
0.25	0.3850	20.0000
0.20	0.4108	20.0000
0.15	0.4365	20.0000
0.10	0.4622	20.0000
0.05	0.4880	20.0000
0.00	0.5137	20.0000
