c	F_rep (kT)
1.00	0.0000	16.0000
0.95	21.1957	16.0000
0.90	42.7117	16.0000
0.85	63.1185	17.0000
0.80	83.7405	17.0000
0.75	104.6775	17.0000
0.70	125.9382	17.0000
0.65	147.5316	17.0000
0.60	169.4671	17.0000
0.55	190.4332	18.0000
0.50	211.3720	18.0000
0.45	232.6449	18.0000
0.40	254.2611	18.0000
0.35	276.2301	18.0000
0.30	298.1246	19.0000
0.25	318.9942	19.0000
0.20	340.2055	19.0000
0.15	361.7678	19.0000
0.10	383.6906	19.0000
0.05	405.6520	20.0000
0.00	426.3562	20.0000
