c	F_rep (kT)
1.00	0.0000	2.0000
0.95	18.4004	2.0000
0.90	38.2415	2.0000
0.85	59.7769	2.0000
0.80	83.3362	2.0000
0.75	109.3602	2.0000
0.70	138.4583	2.0000
0.65	171.5106	2.0000
0.60	209.8578	2.0000
0.55	255.6685	2.0000
0.50	310.8363	3.0000
0.45	378.8774	3.0000
0.40	455.9021	4.0000
0.35	538.6115	5.0000
0.30	623.9337	6.0000
0.25	709.0082	8.0000
0.20	792.5690	10.0000
0.15	872.4294	12.0000
0.10	947.0819	14.0000
0.05	1015.1422	17.0000
0.00	1074.8999	20.0000
