c	F_rep (kT)
1.00	0.0000	19.0000
0.95	5.4746	19.0000
0.90	10.9773	19.0000
0.85	16.5084	19.0000
0.80	22.0682	19.0000
0.75	27.6569	19.0000
0.70	33.2750	19.0000
0.65	38.9226	19.0000
0.60	44.6003	19.0000
0.55	50.3082	19.0000
0.50	56.0468	19.0000
0.45	61.8163	19.0000
0.40	67.1173	20.0000
0.35	72.4239	20.0000
0.30	77.7584	20.0000
0.25	83.1212	20.0000
0.20	88.5125	20.0000
0.15	93.9327	20.0000
0.10	99.3820	20.0000
0.05	104.8609	20.0000
0.00	110.3697	20.0000
