# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
0.4	3.48761
0.45	3.03373
0.5	2.62647
0.55	2.2571
0.6	1.91914
0.65	1.60765
0.7	1.31876
0.75	1.04942
0.8	0.797124
0.85	0.55985
0.9	0.335902
0.95	0.12386
1	-0.0774803
1.05	-0.0738667
1.1	-0.0702285
1.15	-0.0665653
1.2	-0.0628767
1.25	-0.0591621
1.3	-0.0554213
1.35	-0.0516537
1.4	-0.0478588
1.45	-0.0440362
1.5	-0.0401853
1.55	-0.0363057
1.6	-0.0323968
1.65	-0.028458
1.7	-0.0244887
1.75	-0.0204885
1.8	-0.0164566
1.85	-0.0123925
1.9	-0.00829552
1.95	-0.00416493
2	0


# betaDeltaG0strong = -5
0.05	11.5623
0.1	8.96399
0.15	7.41313
0.2	6.30139
0.25	5.43357
0.3	4.72141
0.35	4.11738
0.4	3.59287
0.45	3.12934
0.5	2.71406
0.55	2.33791
0.6	1.99415
0.65	1.67763
0.7	1.38434
0.75	1.11112
0.8	0.855376
0.85	0.615017
0.9	0.388291
0.95	0.173736
1	-0.0298906
1.05	-0.028437
1.1	-0.0269793
1.15	-0.0255174
1.2	-0.0240513
1.25	-0.022581
1.3	-0.0211065
1.35	-0.0196277
1.4	-0.0181446
1.45	-0.0166572
1.5	-0.0151654
1.55	-0.0136692
1.6	-0.0121686
1.65	-0.0106635
1.7	-0.00915394
1.75	-0.00763983
1.8	-0.00612115
1.85	-0.00459787
1.9	-0.00306996
1.95	-0.00153737
2	0


# betaDeltaG0strong = -4
0.05	11.7919
0.1	9.10665
0.15	7.51722
0.2	6.38346
0.25	5.50133
0.3	4.77912
0.35	4.16763
0.4	3.63738
0.45	3.16928
0.5	2.75027
0.55	2.37103
0.6	2.02466
0.65	1.70591
0.7	1.4107
0.75	1.13579
0.8	0.878569
0.85	0.636892
0.9	0.40899
0.95	0.193377
1	-0.0112051
1.05	-0.0106508
1.1	-0.0100958
1.15	-0.00954021
1.2	-0.00898401
1.25	-0.00842719
1.3	-0.00786976
1.35	-0.00731171
1.4	-0.00675304
1.45	-0.00619375
1.5	-0.00563384
1.55	-0.00507331
1.6	-0.00451215
1.65	-0.00395036
1.7	-0.00338794
1.75	-0.00282489
1.8	-0.0022612
1.85	-0.00169688
1.9	-0.00113192
1.95	-0.000566315
2	0


# betaDeltaG0strong = -3
0.05	11.9047
0.1	9.16979
0.15	7.56112
0.2	6.41711
0.25	5.52861
0.3	4.80205
0.35	4.18741
0.4	3.65476
0.45	3.18478
0.5	2.76426
0.55	2.38378
0.6	2.03636
0.65	1.71673
0.7	1.42076
0.75	1.14518
0.8	0.887376
0.85	0.645185
0.9	0.416825
0.95	0.200801
1	-0.00415172
1.05	-0.00394495
1.1	-0.0037381
1.15	-0.00353117
1.2	-0.00332414
1.25	-0.00311704
1.3	-0.00290984
1.35	-0.00270257
1.4	-0.0024952
1.45	-0.00228775
1.5	-0.00208021
1.55	-0.00187259
1.6	-0.00166488
1.65	-0.00145709
1.7	-0.00124921
1.75	-0.00104124
1.8	-0.000833185
1.85	-0.000625043
1.9	-0.000416811
1.95	-0.000208483
2	0


# betaDeltaG0strong = -2
0.05	11.9528
0.1	9.19505
0.15	7.57824
0.2	6.43006
0.25	5.53902
0.3	4.81076
0.35	4.19489
0.4	3.66131
0.45	3.19061
0.5	2.76951
0.55	2.38855
0.6	2.04074
0.65	1.72077
0.7	1.4245
0.75	1.14868
0.8	0.890655
0.85	0.648271
0.9	0.419738
0.95	0.20356
1	-0.00153146
1.05	-0.001455
1.1	-0.00137854
1.15	-0.00130206
1.2	-0.00122557
1.25	-0.00114906
1.3	-0.00107255
1.35	-0.000996021
1.4	-0.000919482
1.45	-0.000842932
1.5	-0.000766371
1.55	-0.000689797
1.6	-0.000613212
1.65	-0.000536615
1.7	-0.000460005
1.75	-0.000383384
1.8	-0.000306751
1.85	-0.000230105
1.9	-0.000153444
1.95	-7.67618e-05
2	0


# betaDeltaG0strong = -1
0.05	11.9716
0.1	9.20466
0.15	7.58469
0.2	6.43491
0.25	5.5429
0.3	4.814
0.35	4.19766
0.4	3.66374
0.45	3.19277
0.5	2.77145
0.55	2.39032
0.6	2.04236
0.65	1.72226
0.7	1.42589
0.75	1.14997
0.8	0.891867
0.85	0.649411
0.9	0.420815
0.95	0.204579
1	-0.000564016
1.05	-0.000535836
1.1	-0.000507654
1.15	-0.000479471
1.2	-0.000451286
1.25	-0.000423099
1.3	-0.000394911
1.35	-0.000366721
1.4	-0.00033853
1.45	-0.000310337
1.5	-0.000282142
1.55	-0.000253946
1.6	-0.000225748
1.65	-0.000197548
1.7	-0.000169346
1.75	-0.000141143
1.8	-0.000112938
1.85	-8.47295e-05
1.9	-5.65172e-05
1.95	-2.82932e-05
2	0


# betaDeltaG0strong = 0
0.05	11.9787
0.1	9.20824
0.15	7.58708
0.2	6.4367
0.25	5.54434
0.3	4.81519
0.35	4.19869
0.4	3.66464
0.45	3.19357
0.5	2.77217
0.55	2.39097
0.6	2.04295
0.65	1.72281
0.7	1.4264
0.75	1.15045
0.8	0.892314
0.85	0.649831
0.9	0.421211
0.95	0.204954
1	-0.000207636
1.05	-0.000197261
1.1	-0.000186887
1.15	-0.000176512
1.2	-0.000166137
1.25	-0.000155762
1.3	-0.000145387
1.35	-0.000135011
1.4	-0.000124635
1.45	-0.000114259
1.5	-0.000103883
1.55	-9.35064e-05
1.6	-8.31295e-05
1.65	-7.27522e-05
1.7	-6.23746e-05
1.75	-5.19964e-05
1.8	-4.16175e-05
1.85	-3.12373e-05
1.9	-2.08544e-05
1.95	-1.04611e-05
2	0


# betaDeltaG0strong = 1
0.05	11.9814
0.1	9.20957
0.15	7.58797
0.2	6.43737
0.25	5.54487
0.3	4.81563
0.35	4.19907
0.4	3.66497
0.45	3.19386
0.5	2.77243
0.55	2.39121
0.6	2.04317
0.65	1.72301
0.7	1.42659
0.75	1.15063
0.8	0.892478
0.85	0.649986
0.9	0.421357
0.95	0.205093
1	-7.64658e-05
1.05	-7.26483e-05
1.1	-6.88308e-05
1.15	-6.50132e-05
1.2	-6.11956e-05
1.25	-5.73779e-05
1.3	-5.35602e-05
1.35	-4.97425e-05
1.4	-4.59247e-05
1.45	-4.21068e-05
1.5	-3.82888e-05
1.55	-3.44708e-05
1.6	-3.06526e-05
1.65	-2.68343e-05
1.7	-2.30158e-05
1.75	-1.91969e-05
1.8	-1.53776e-05
1.85	-1.15571e-05
1.9	-7.73411e-06
1.95	-3.90088e-06
2	0


# betaDeltaG0strong = 2
0.05	11.9824
0.1	9.21006
0.15	7.58829
0.2	6.43761
0.25	5.54506
0.3	4.8158
0.35	4.19921
0.4	3.66509
0.45	3.19397
0.5	2.77253
0.55	2.3913
0.6	2.04326
0.65	1.72309
0.7	1.42666
0.75	1.15069
0.8	0.892539
0.85	0.650042
0.9	0.421411
0.95	0.205143
1	-2.82024e-05
1.05	-2.67978e-05
1.1	-2.53932e-05
1.15	-2.39886e-05
1.2	-2.2584e-05
1.25	-2.11794e-05
1.3	-1.97748e-05
1.35	-1.83701e-05
1.4	-1.69654e-05
1.45	-1.55606e-05
1.5	-1.41558e-05
1.55	-1.2751e-05
1.6	-1.1346e-05
1.65	-9.94094e-06
1.7	-8.53568e-06
1.75	-7.13013e-06
1.8	-5.72406e-06
1.85	-4.31696e-06
1.9	-2.90731e-06
1.95	-1.48747e-06
2	0


# betaDeltaG0strong = 3
0.05	11.9827
0.1	9.21024
0.15	7.58841
0.2	6.4377
0.25	5.54514
0.3	4.81586
0.35	4.19926
0.4	3.66514
0.45	3.19401
0.5	2.77257
0.55	2.39133
0.6	2.04329
0.65	1.72312
0.7	1.42668
0.75	1.15071
0.8	0.892561
0.85	0.650064
0.9	0.421431
0.95	0.205162
1	-1.03583e-05
1.05	-9.84152e-06
1.1	-9.32473e-06
1.15	-8.80793e-06
1.2	-8.29112e-06
1.25	-7.77429e-06
1.3	-7.25744e-06
1.35	-6.74057e-06
1.4	-6.22368e-06
1.45	-5.70674e-06
1.5	-5.18976e-06
1.55	-4.67272e-06
1.6	-4.15559e-06
1.65	-3.63834e-06
1.7	-3.1209e-06
1.75	-2.60318e-06
1.8	-2.08494e-06
1.85	-1.56569e-06
1.9	-1.04388e-06
1.95	-5.1188e-07
2	0


# betaDeltaG0strong = 4
0.05	11.9829
0.1	9.2103
0.15	7.58845
0.2	6.43773
0.25	5.54516
0.3	4.81588
0.35	4.19928
0.4	3.66515
0.45	3.19402
0.5	2.77258
0.55	2.39134
0.6	2.0433
0.65	1.72313
0.7	1.42669
0.75	1.15072
0.8	0.89257
0.85	0.650071
0.9	0.421438
0.95	0.205169
1	-3.73792e-06
1.05	-3.54775e-06
1.1	-3.35758e-06
1.15	-3.16739e-06
1.2	-2.97719e-06
1.25	-2.78698e-06
1.3	-2.59675e-06
1.35	-2.4065e-06
1.4	-2.21621e-06
1.45	-2.0259e-06
1.5	-1.83553e-06
1.55	-1.64511e-06
1.6	-1.4546e-06
1.65	-1.26396e-06
1.7	-1.07315e-06
1.75	-8.82045e-07
1.8	-6.90429e-07
1.85	-4.97794e-07
1.9	-3.02609e-07
1.95	-9.7228e-08
2	0


# betaDeltaG0strong = 5
0.05	11.9829
0.1	9.21033
0.15	7.58847
0.2	6.43774
0.25	5.54517
0.3	4.81589
0.35	4.19928
0.4	3.66516
0.45	3.19403
0.5	2.77259
0.55	2.39135
0.6	2.0433
0.65	1.72313
0.7	1.4267
0.75	1.15073
0.8	0.892573
0.85	0.650074
0.9	0.421441
0.95	0.205172
1	-1.30239e-06
1.05	-1.23238e-06
1.1	-1.16237e-06
1.15	-1.09234e-06
1.2	-1.0223e-06
1.25	-9.5224e-07
1.3	-8.82166e-07
1.35	-8.12069e-07
1.4	-7.41944e-07
1.45	-6.71783e-07
1.5	-6.01577e-07
1.55	-5.31308e-07
1.6	-4.60954e-07
1.65	-3.90479e-07
1.7	-3.19822e-07
1.75	-2.48874e-07
1.8	-1.77415e-07
1.85	-1.04937e-07
1.9	-2.99099e-08
1.95	0
2	0


# betaDeltaG0strong = 6
0.05	11.9829
0.1	9.21034
0.15	7.58848
0.2	6.43775
0.25	5.54518
0.3	4.81589
0.35	4.19929
0.4	3.66516
0.45	3.19403
0.5	2.77259
0.55	2.39135
0.6	2.0433
0.65	1.72313
0.7	1.4267
0.75	1.15073
0.8	0.892574
0.85	0.650075
0.9	0.421442
0.95	0.205173
1	-4.06412e-07
1.05	-3.80606e-07
1.1	-3.54791e-07
1.15	-3.28966e-07
1.2	-3.03128e-07
1.25	-2.77275e-07
1.3	-2.51404e-07
1.35	-2.25511e-07
1.4	-1.99589e-07
1.45	-1.73632e-07
1.5	-1.47629e-07
1.55	-1.21563e-07
1.6	-9.5413e-08
1.65	-6.91414e-08
1.7	-4.26876e-08
1.75	-1.59426e-08
1.8	0
1.85	0
1.9	0
1.95	0
2	0


