# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
1.5	-0.0204539
1.55	-0.0198047
1.6	-0.0191054
1.65	-0.0183444
1.7	-0.0175066
1.75	-0.016569
1.8	-0.0154955
1.85	-0.0142226
1.9	-0.0126203
1.95	-0.0118092
2	0


# betaDeltaG0strong = -32
0.05	5.97828
0.1	4.58881
0.15	3.77566
0.2	3.19852
0.25	2.75074
0.3	2.3848
0.35	2.07533
0.4	1.80721
0.45	1.57067
0.5	1.35905
0.55	1.16758
0.6	0.992764
0.65	0.831928
0.7	0.682998
0.75	0.544332
0.8	0.414605
0.85	0.292732
0.9	0.177815
0.95	0.0691032
1	-0.0340411
1.05	-0.0334834
1.1	-0.0329058
1.15	-0.0323063
1.2	-0.0316826
1.25	-0.0310323
1.3	-0.0303525
1.35	-0.029639
1.4	-0.0288877
1.45	-0.0280935
1.5	-0.0272493
1.55	-0.0263461
1.6	-0.0253734
1.65	-0.0243151
1.7	-0.0248578
1.75	-0.023531
1.8	-0.0219593
1.85	-0.0200132
1.9	-0.0174283
1.95	-0.0131818
2	0


# betaDeltaG0strong = -31
0.05	5.97412
0.1	4.5834
0.15	3.76938
0.2	3.19156
0.25	2.74319
0.3	2.37674
0.35	2.06681
0.4	1.79828
0.45	1.56136
0.5	1.34938
0.55	1.15759
0.6	0.982457
0.65	0.821326
0.7	0.672118
0.75	0.533186
0.8	0.403204
0.85	0.281087
0.9	0.165937
0.95	0.0569985
1	-0.0463637
1.05	-0.0455882
1.1	-0.0447848
1.15	-0.0439509
1.2	-0.0447821
1.25	-0.0438695
1.3	-0.0429092
1.35	-0.0418948
1.4	-0.0408188
1.45	-0.0396718
1.5	-0.0384421
1.55	-0.0371141
1.6	-0.0356687
1.65	-0.0340792
1.7	-0.0323078
1.75	-0.0303009
1.8	-0.0273243
1.85	-0.0248643
1.9	-0.0217711
1.95	-0.0173537
2	0


# betaDeltaG0strong = -30
0.05	5.96814
0.1	4.5757
0.15	3.76046
0.2	3.18168
0.25	2.7325
0.3	2.36533
0.35	2.05478
0.4	1.78567
