# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	466.52
-215.385	3.05263	292.896
-215.385	5.10526	212.782
-215.385	7.15789	160.097
-215.385	9.21053	120.794
-215.385	11.2632	89.4921
-215.385	13.3158	63.3746
-215.385	15.3684	40.9988
-215.385	17.4211	21.4637
-215.385	19.4737	4.10322
-215.385	21.5263	-0.035508
-215.385	23.5789	0
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	465.961
-203.077	3.05263	292.653
-203.077	5.10526	212.628
-203.077	7.15789	159.995
-203.077	9.21053	120.697
-203.077	11.2632	89.3417
-203.077	13.3158	63.2534
-203.077	15.3684	40.9346
-203.077	17.4211	21.4114
-203.077	19.4737	4.03983
-203.077	21.5263	-0.122242
-203.077	23.5789	-0.101224
-203.077	25.6316	-0.0802141
-203.077	27.6842	-0.0768828
-203.077	29.7368	-0.0570107
-203.077	31.7895	-0.0545976
-203.077	33.8421	-0.0178609
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	464.012
-190.769	3.05263	291.629
-190.769	5.10526	211.792
-190.769	7.15789	159.441
-190.769	9.21053	120.358
-190.769	11.2632	89.1603
-190.769	13.3158	63.0873
-190.769	15.3684	40.766
-190.769	17.4211	21.2025
-190.769	19.4737	3.84917
-190.769	21.5263	-0.278791
-190.769	23.5789	-0.266348
-190.769	25.6316	-0.222087
-190.769	27.6842	-0.162375
-190.769	29.7368	-0.121822
-190.769	31.7895	-0.115812
-190.769	33.8421	-0.0939459
-190.769	35.8947	-0.0560227
-190.769	37.9474	-0.0533027
-190.769	40	0

-178.462	1	462.192
-178.462	3.05263	290.651
-178.462	5.10526	211.189
-178.462	7.15789	158.944
-178.462	9.21053	119.793
-178.462	11.2632	88.5684
-178.462	13.3158	62.6312
-178.462	15.3684	40.3711
-178.462	17.4211	20.8918
-178.462	19.4737	3.60167
-178.462	21.5263	-0.506178
-178.462	23.5789	-0.438275
-178.462	25.6316	-0.370327
-178.462	27.6842	-0.304867
-178.462	29.7368	-0.274193
-178.462	31.7895	-0.229884
-178.462	33.8421	-0.202614
-178.462	35.8947	-0.126812
-178.462	37.9474	-0.0720601
-178.462	40	0

-166.154	1	458.307
-166.154	3.05263	288.634
-166.154	5.10526	209.924
-166.154	7.15789	157.889
-166.154	9.21053	118.949
-166.154	11.2632	88.0186
-166.154	13.3158	62.1926
-166.154	15.3684	39.9439
-166.154	17.4211	20.5016
-166.154	19.4737	3.23277
-166.154	21.5263	-0.793929
-166.154	23.5789	-0.743392
-166.154	25.6316	-0.663777
-166.154	27.6842	-0.555967
-166.154	29.7368	-0.466823
-166.154	31.7895	-0.369384
-166.154	33.8421	-0.257201
-166.154	35.8947	-0.164385
-166.154	37.9474	-0.0725779
-166.154	40	0

-153.846	1	452.588
-153.846	3.05263	286.157
-153.846	5.10526	207.858
-153.846	7.15789	156.51
-153.846	9.21053	117.881
-153.846	11.2632	86.9175
-153.846	13.3158	61.1098
-153.846	15.3684	38.988
-153.846	17.4211	19.6043
-153.846	19.4737	2.46148
-153.846	21.5263	-1.49165
-153.846	23.5789	-1.29754
-153.846	25.6316	-1.10782
-153.846	27.6842	-0.912115
-153.846	29.7368	-0.669074
-153.846	31.7895	-0.510181
-153.846	33.8421	-0.387081
-153.846	35.8947	-0.237728
-153.846	37.9474	-0.126557
-153.846	40	0

-141.538	1	447.355
-141.538	3.05263	282.783
-141.538	5.10526	205.298
-141.538	7.15789	154.3
-141.538	9.21053	116.196
-141.538	11.2632	85.6398
-141.538	13.3158	60.1834
-141.538	15.3684	38.2384
-141.538	17.4211	18.8422
-141.538	19.4737	1.70074
-141.538	21.5263	-2.33803
-141.538	23.5789	-2.09414
-141.538	25.6316	-1.88623
-141.538	27.6842	-1.53384
-141.538	29.7368	-1.23018
-141.538	31.7895	-0.986325
-141.538	33.8421	-0.716798
-141.538	35.8947	-0.455588
-141.538	37.9474	-0.216919
-141.538	40	0

-129.231	1	439.773
-129.231	3.05263	278.708
-129.231	5.10526	202.768
-129.231	7.15789	152.301
-129.231	9.21053	114.435
-129.231	11.2632	83.8022
-129.231	13.3158	58.4691
-129.231	15.3684	36.7555
-129.231	17.4211	17.7371
-129.231	19.4737	0.723162
-129.231	21.5263	-3.12569
-129.231	23.5789	-2.81325
-129.231	25.6316	-2.44734
-129.231	27.6842	-2.12393
-129.231	29.7368	-1.85774
-129.231	31.7895	-1.59065
-129.231	33.8421	-1.29747
-129.231	35.8947	-0.868068
-129.231	37.9474	-0.445637
-129.231	40	0

-116.923	1	432.396
-116.923	3.05263	274.149
-116.923	5.10526	200.208
-116.923	7.15789	150.049
-116.923	9.21053	112.572
-116.923	11.2632	82.4463
-116.923	13.3158	57.2054
-116.923	15.3684	35.5458
-116.923	17.4211	16.695
-116.923	19.4737	-0.279049
-116.923	21.5263	-4.07283
-116.923	23.5789	-3.68022
-116.923	25.6316	-3.30247
-116.923	27.6842	-2.90106
-116.923	29.7368	-2.47456
-116.923	31.7895	-2.11079
-116.923	33.8421	-1.59456
-116.923	35.8947	-1.18762
-116.923	37.9474	-0.624277
-116.923	40	0

-104.615	1	423.821
-104.615	3.05263	270.409
-104.615	5.10526	196.75
-104.615	7.15789	147.465
-104.615	9.21053	110.409
-104.615	11.2632	80.7993
-104.615	13.3158	55.8099
-104.615	15.3684	34.0956
-104.615	17.4211	15.2018
-104.615	19.4737	-1.67125
-104.615	21.5263	-5.26241
-104.615	23.5789	-4.79227
-104.615	25.6316	-4.19276
-104.615	27.6842	-3.55601
-104.615	29.7368	-3.11422
-104.615	31.7895	-2.55266
-104.615	33.8421	-1.92725
-104.615	35.8947	-1.31076
-104.615	37.9474	-0.710289
-104.615	40	0

-92.3077	1	415.667
-92.3077	3.05263	264.618
-92.3077	5.10526	192.449
-92.3077	7.15789	143.49
-92.3077	9.21053	107.367
-92.3077	11.2632	78.1877
-92.3077	13.3158	53.699
-92.3077	15.3684	32.4673
-92.3077	17.4211	13.8677
-92.3077	19.4737	-2.87047
-92.3077	21.5263	-6.50313
-92.3077	23.5789	-5.83364
-92.3077	25.6316	-5.23544
-92.3077	27.6842	-4.64831
-92.3077	29.7368	-3.93821
-92.3077	31.7895	-3.0982
-92.3077	33.8421	-2.3138
-92.3077	35.8947	-1.3694
-92.3077	37.9474	-0.859321
-92.3077	40	0

-80	1	407.411
-80	3.05263	260.3
-80	5.10526	189.515
-80	7.15789	141.515
-80	9.21053	105.836
-80	11.2632	76.9497
-80	13.3158	52.1928
-80	15.3684	30.9968
-80	17.4211	12.344
-80	19.4737	-4.18395
-80	21.5263	-7.49255
-80	23.5789	-6.80621
-80	25.6316	-6.00015
-80	27.6842	-5.29673
-80	29.7368	-4.43165
-80	31.7895	-3.70616
-80	33.8421	-2.83291
-80	35.8947	-1.98074
-80	37.9474	-0.94899
-80	40	0

-67.6923	1	399.015
-67.6923	3.05263	255.169
-67.6923	5.10526	185.161
-67.6923	7.15789	138.094
-67.6923	9.21053	103.049
-67.6923	11.2632	74.5028
-67.6923	13.3158	50.2395
-67.6923	15.3684	29.4238
-67.6923	17.4211	10.9717
-67.6923	19.4737	-5.42543
-67.6923	21.5263	-8.75225
-67.6923	23.5789	-7.9261
-67.6923	25.6316	-7.08863
-67.6923	27.6842	-6.02981
-67.6923	29.7368	-5.12375
-67.6923	31.7895	-4.19223
-67.6923	33.8421	-3.23166
-67.6923	35.8947	-2.10685
-67.6923	37.9474	-1.14438
-67.6923	40	0

-55.3846	1	392.202
-55.3846	3.05263	251.651
-55.3846	5.10526	183.405
-55.3846	7.15789	137.123
-55.3846	9.21053	101.422
-55.3846	11.2632	72.9208
-55.3846	13.3158	48.8681
-55.3846	15.3684	28.2126
-55.3846	17.4211	9.78986
-55.3846	19.4737	-6.68693
-55.3846	21.5263	-10.0229
-55.3846	23.5789	-9.04356
-55.3846	25.6316	-7.98077
-55.3846	27.6842	-7.05199
-55.3846	29.7368	-6.05994
-55.3846	31.7895	-4.89135
-55.3846	33.8421	-3.65574
-55.3846	35.8947	-2.39722
-55.3846	37.9474	-1.27707
-55.3846	40	0

-43.0769	1	384.684
-43.0769	3.05263	247.617
-43.0769	5.10526	180.485
-43.0769	7.15789	134.628
-43.0769	9.21053	99.328
-43.0769	11.2632	71.0731
-43.0769	13.3158	47.273
-43.0769	15.3684	26.5223
-43.0769	17.4211	8.52529
-43.0769	19.4737	-7.78964
-43.0769	21.5263	-10.8575
-43.0769	23.5789	-9.94017
-43.0769	25.6316	-8.87704
-43.0769	27.6842	-7.81275
-43.0769	29.7368	-6.66391
-43.0769	31.7895	-5.48568
-43.0769	33.8421	-4.20525
-43.0769	35.8947	-3.00001
-43.0769	37.9474	-1.56298
