# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	467.303
-215.385	3.05263	293.227
-215.385	5.10526	213.005
-215.385	7.15789	160.288
-215.385	9.21053	120.956
-215.385	11.2632	89.571
-215.385	13.3158	63.4547
-215.385	15.3684	41.0895
-215.385	17.4211	21.5328
-215.385	19.4737	4.15755
-215.385	21.5263	-0.00247851
-215.385	23.5789	-0.00240432
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	467.007
-203.077	3.05263	293.12
-203.077	5.10526	212.932
-203.077	7.15789	160.233
-203.077	9.21053	120.926
-203.077	11.2632	89.5423
-203.077	13.3158	63.4291
-203.077	15.3684	41.0648
-203.077	17.4211	21.5128
-203.077	19.4737	4.14121
-203.077	21.5263	-0.0132894
-203.077	23.5789	-0.0104369
-203.077	25.6316	-0.00768951
-203.077	27.6842	-0.00270054
-203.077	29.7368	-0.00258151
-203.077	31.7895	-0.00246972
-203.077	33.8421	0
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	465.984
-190.769	3.05263	292.655
-190.769	5.10526	212.732
-190.769	7.15789	160.09
-190.769	9.21053	120.839
-190.769	11.2632	89.4886
-190.769	13.3158	63.3876
-190.769	15.3684	41.0348
-190.769	17.4211	21.4815
-190.769	19.4737	4.10917
-190.769	21.5263	-0.045482
-190.769	23.5789	-0.0366079
-190.769	25.6316	-0.0255678
-190.769	27.6842	-0.0243995
-190.769	29.7368	-0.0209334
-190.769	31.7895	-0.015292
-190.769	33.8421	-0.00992071
-190.769	35.8947	-0.00243386
-190.769	37.9474	0
-190.769	40	0

-178.462	1	465.425
-178.462	3.05263	292.523
-178.462	5.10526	212.558
-178.462	7.15789	159.942
-178.462	9.21053	120.657
-178.462	11.2632	89.3254
-178.462	13.3158	63.2471
-178.462	15.3684	40.9206
-178.462	17.4211	21.3906
-178.462	19.4737	4.02898
-178.462	21.5263	-0.110016
-178.462	23.5789	-0.0956934
-178.462	25.6316	-0.0866171
-178.462	27.6842	-0.0686332
-178.462	29.7368	-0.0488471
-178.462	31.7895	-0.0395154
-178.462	33.8421	-0.0282875
-178.462	35.8947	-0.015209
-178.462	37.9474	-0.00973117
-178.462	40	0

-166.154	1	464.347
-166.154	3.05263	292.08
-166.154	5.10526	212.265
-166.154	7.15789	159.743
-166.154	9.21053	120.491
-166.154	11.2632	89.1826
-166.154	13.3158	63.1428
-166.154	15.3684	40.8321
-166.154	17.4211	21.2987
-166.154	19.4737	3.943
-166.154	21.5263	-0.197064
-166.154	23.5789	-0.182725
-166.154	25.6316	-0.16445
-166.154	27.6842	-0.144683
-166.154	29.7368	-0.119022
-166.154	31.7895	-0.0878738
-166.154	33.8421	-0.0672294
-166.154	35.8947	-0.0451785
-166.154	37.9474	-0.0197203
-166.154	40	0

-153.846	1	462.63
-153.846	3.05263	291.497
-153.846	5.10526	211.891
-153.846	7.15789	159.512
-153.846	9.21053	120.314
-153.846	11.2632	89.0217
-153.846	13.3158	62.9896
-153.846	15.3684	40.696
-153.846	17.4211	21.1995
-153.846	19.4737	3.86092
-153.846	21.5263	-0.273484
-153.846	23.5789	-0.247508
-153.846	25.6316	-0.227629
-153.846	27.6842	-0.197624
-153.846	29.7368	-0.169023
-153.846	31.7895	-0.134937
-153.846	33.8421	-0.111793
-153.846	35.8947	-0.0782777
-153.846	37.9474	-0.0417406
-153.846	40	0

-141.538	1	461.229
-141.538	3.05263	290.746
-141.538	5.10526	211.439
-141.538	7.15789	159.128
-141.538	9.21053	120.021
-141.538	11.2632	88.8045
-141.538	13.3158	62.8189
-141.538	15.3684	40.5373
-141.538	17.4211	21.0677
-141.538	19.4737	3.74163
-141.538	21.5263	-0.370448
-141.538	23.5789	-0.312464
-141.538	25.6316	-0.268796
-141.538	27.6842	-0.241107
-141.538	29.7368	-0.194204
-141.538	31.7895	-0.158926
-141.538	33.8421	-0.123
-141.538	35.8947	-0.0960082
-141.538	37.9474	-0.0539728
-141.538	40	0

-129.231	1	459.104
-129.231	3.05263	290.046
-129.231	5.10526	210.958
-129.231	7.15789	158.846
-129.231	9.21053	119.805
-129.231	11.2632	88.6357
-129.231	13.3158	62.6737
-129.231	15.3684	40.3911
-129.231	17.4211	20.9127
-129.231	19.4737	3.61221
-129.231	21.5263	-0.492527
-129.231	23.5789	-0.43065
-129.231	25.6316	-0.357416
-129.231	27.6842	-0.314846
-129.231	29.7368	-0.262869
-129.231	31.7895	-0.19932
-129.231	33.8421	-0.13153
-129.231	35.8947	-0.0760458
-129.231	37.9474	-0.039588
-129.231	40	0

-116.923	1	457.113
-116.923	3.05263	289.113
-116.923	5.10526	210.415
-116.923	7.15789	158.427
-116.923	9.21053	119.509
-116.923	11.2632	88.3556
-116.923	13.3158	62.3935
-116.923	15.3684	40.1499
-116.923	17.4211	20.7026
-116.923	19.4737	3.43104
-116.923	21.5263	-0.648777
-116.923	23.5789	-0.574719
-116.923	25.6316	-0.476283
-116.923	27.6842	-0.400051
-116.923	29.7368	-0.329545
-116.923	31.7895	-0.269517
-116.923	33.8421	-0.198192
-116.923	35.8947	-0.120903
-116.923	37.9474	-0.061205
-116.923	40	0

-104.615	1	454.265
-104.615	3.05263	287.882
-104.615	5.10526	209.478
-104.615	7.15789	157.666
-104.615	9.21053	118.908
-104.615	11.2632	87.979
-104.615	13.3158	62.1499
-104.615	15.3684	39.9421
-104.615	17.4211	20.5222
-104.615	19.4737	3.24371
-104.615	21.5263	-0.835254
-104.615	23.5789	-0.757014
-104.615	25.6316	-0.655388
-104.615	27.6842	-0.572343
-104.615	29.7368	-0.463477
-104.615	31.7895	-0.375634
-104.615	33.8421	-0.275807
-104.615	35.8947	-0.185068
-104.615	37.9474	-0.0964789
-104.615	40	0

-92.3077	1	451.42
-92.3077	3.05263	286.962
-92.3077	5.10526	209.065
-92.3077	7.15789	157.364
-92.3077	9.21053	118.65
-92.3077	11.2632	87.6699
-92.3077	13.3158	61.8314
-92.3077	15.3684	39.6585
-92.3077	17.4211	20.2659
-92.3077	19.4737	2.99428
-92.3077	21.5263	-1.05455
-92.3077	23.5789	-0.933371
-92.3077	25.6316	-0.820185
-92.3077	27.6842	-0.747008
-92.3077	29.7368	-0.601893
-92.3077	31.7895	-0.470638
-92.3077	33.8421	-0.377722
-92.3077	35.8947	-0.254746
-92.3077	37.9474	-0.116088
-92.3077	40	0

-80	1	449.143
-80	3.05263	286.04
-80	5.10526	208.546
-80	7.15789	157.046
-80	9.21053	118.389
-80	11.2632	87.363
-80	13.3158	61.5482
-80	15.3684	39.4081
-80	17.4211	20.0754
-80	19.4737	2.82256
-80	21.5263	-1.22113
-80	23.5789	-1.11723
-80	25.6316	-0.987068
-80	27.6842	-0.849474
-80	29.7368	-0.690105
-80	31.7895	-0.559233
-80	33.8421	-0.434313
-80	35.8947	-0.308439
-80	37.9474	-0.142477
-80	40	0

-67.6923	1	447.602
-67.6923	3.05263	285.37
-67.6923	5.10526	207.919
-67.6923	7.15789	156.459
-67.6923	9.21053	117.847
-67.6923	11.2632	86.9849
-67.6923	13.3158	61.3079
-67.6923	15.3684	39.2525
-67.6923	17.4211	19.8892
-67.6923	19.4737	2.67734
-67.6923	21.5263	-1.35618
-67.6923	23.5789	-1.2205
-67.6923	25.6316	-1.08028
-67.6923	27.6842	-0.939975
-67.6923	29.7368	-0.783951
-67.6923	31.7895	-0.641698
-67.6923	33.8421	-0.457638
-67.6923	35.8947	-0.302881
-67.6923	37.9474	-0.157533
-67.6923	40	0

-55.3846	1	444.886
-55.3846	3.05263	284.029
-55.3846	5.10526	207.348
-55.3846	7.15789	156.219
-55.3846	9.21053	117.726
-55.3846	11.2632	86.8171
-55.3846	13.3158	61.028
-55.3846	15.3684	38.9743
-55.3846	17.4211	19.6403
-55.3846	19.4737	2.45313
-55.3846	21.5263	-1.51779
-55.3846	23.5789	-1.32995
-55.3846	25.6316	-1.13495
-55.3846	27.6842	-0.977709
-55.3846	29.7368	-0.825639
-55.3846	31.7895	-0.660084
-55.3846	33.8421	-0.511537
-55.3846	35.8947	-0.335293
-55.3846	37.9474	-0.166856
-55.3846	40	0

-43.0769	1	442.187
-43.0769	3.05263	282.811
-43.0769	5.10526	206.384
-43.0769	7.15789	155.43
-43.0769	9.21053	117.077
-43.0769	11.2632	86.3764
-43.0769	13.3158	60.7796
-43.0769	15.3684	38.7439
-43.0769	17.4211	19.5146
-43.0769	19.4737	2.34053
-43.0769	21.5263	-1.64935
-43.0769	23.5789	-1.46309
-43.0769	25.6316	-1.27879
-43.0769	27.6842	-1.11227
-43.0769	29.7368	-0.921485
-43.0769	31.7895	-0.762731
-43.0769	33.8421	-0.556409
-43.0769	35.8947	-0.368664
