# d (nm)	h (nm)	F (kT)
# Total number of tethers: 8
-17.4359	1.52632	4.61967
-17.4359	2.55263	1.89034
-17.4359	3.57895	0.0320434
-17.4359	4.60526	-1.41517
-17.4359	5.63158	-2.63767
-17.4359	6.65789	-3.74938
-17.4359	7.68421	-4.91285
-17.4359	8.71053	-5.71253
-17.4359	9.73684	-6.71558
-17.4359	10.7632	-6.85219
-17.4359	11.7895	-5.72186
-17.4359	12.8158	-5.62954
-17.4359	13.8421	-5.53828
-17.4359	14.8684	-5.13925
-17.4359	15.8947	-3.31063
-17.4359	16.9211	-1.09551
-17.4359	17.9474	0
-17.4359	18.9737	0
-17.4359	20	0

-15.3846	0.5	10.2074
-15.3846	1.52632	4.48369
-15.3846	2.55263	1.76806
-15.3846	3.57895	-0.0717693
-15.3846	4.60526	-1.49348
-15.3846	5.63158	-2.6782
-15.3846	6.65789	-3.72285
-15.3846	7.68421	-4.69907
-15.3846	8.71053	-5.72486
-15.3846	9.73684	-6.75873
-15.3846	10.7632	-7.07182
-15.3846	11.7895	-6.95561
-15.3846	12.8158	-6.84097
-15.3846	13.8421	-5.68275
-15.3846	14.8684	-5.57979
-15.3846	15.8947	-5.48009
-15.3846	16.9211	-3.32259
-15.3846	17.9474	-1.09619
-15.3846	18.9737	0
-15.3846	20	0

-13.3333	0.5	9.86196
-13.3333	1.52632	4.15262
-13.3333	2.55263	1.45109
-13.3333	3.57895	-0.374157
-13.3333	4.60526	-1.78031
-13.3333	5.63158	-2.94787
-13.3333	6.65789	-3.97245
-13.3333	7.68421	-4.92173
-13.3333	8.71053	-5.87911
-13.3333	9.73684	-7.08602
-13.3333	10.7632	-7.28732
-13.3333	11.7895	-7.14946
-13.3333	12.8158	-7.01569
-13.3333	13.8421	-6.88632
-13.3333	14.8684	-6.76152
-13.3333	15.8947	-5.58743
-13.3333	16.9211	-5.4807
-13.3333	17.9474	-3.31352
-13.3333	18.9737	-1.08925
-13.3333	20	0

-11.2821	0.5	7.24566
-11.2821	1.52632	2.14358
-11.2821	2.55263	-0.400866
-11.2821	3.57895	-2.32971
-11.2821	4.60526	-3.45181
-11.2821	5.63158	-3.43346
-11.2821	6.65789	-4.46108
-11.2821	7.68421	-5.45419
-11.2821	8.71053	-6.4332
-11.2821	9.73684	-7.3458
-11.2821	10.7632	-7.48641
-11.2821	11.7895	-7.3257
-11.2821	12.8158	-7.1723
-11.2821	13.8421	-7.02606
-11.2821	14.8684	-6.88668
-11.2821	15.8947	-6.75385
-11.2821	16.9211	-6.0396
-11.2821	17.9474	-4.88833
-11.2821	18.9737	-2.83642
-11.2821	20	0

-9.23077	0.5	5.83772
-9.23077	1.52632	0.884831
-9.23077	2.55263	-1.56458
-9.23077	3.57895	-3.44203
-9.23077	4.60526	-4.5949
-9.23077	5.63158	-4.9979
-9.23077	6.65789	-6.0462
-9.23077	7.68421	-6.88071
-9.23077	8.71053	-7.64429
-9.23077	9.73684	-8.16817
-9.23077	10.7632	-7.65251
-9.23077	11.7895	-7.47054
-9.23077	12.8158	-7.29939
-9.23077	13.8421	-7.1382
-9.23077	14.8684	-6.98617
-9.23077	15.8947	-6.84256
-9.23077	16.9211	-6.70667
-9.23077	17.9474	-6.32276
-9.23077	18.9737	-4.45869
-9.23077	20	0

-7.17949	0.5	3.93317
-7.17949	1.52632	-0.941827
-7.17949	2.55263	-3.38605
-7.17949	3.57895	-4.92646
-7.17949	4.60526	-6.07936
-7.17949	5.63158	-6.86345
-7.17949	6.65789	-7.56329
-7.17949	7.68421	-8.20068
-7.17949	8.71053	-8.40716
-7.17949	9.73684	-8.48619
-7.17949	10.7632	-8.34837
-7.17949	11.7895	-8.14576
-7.17949	12.8158	-7.95613
-7.17949	13.8421	-7.21343
-7.17949	14.8684	-7.05243
-7.17949	15.8947	-6.90126
-7.17949	16.9211	-6.75896
-7.17949	17.9474	-6.6247
-7.17949	18.9737	-4.85609
-7.17949	20	0

-5.12821	0.5	3.55712
-5.12821	1.52632	-1.26697
-5.12821	2.55263	-3.72375
-5.12821	3.57895	-5.36271
-5.12821	4.60526	-5.9237
-5.12821	5.63158	-6.86437
-5.12821	6.65789	-7.69704
-5.12821	7.68421	-8.32867
-5.12821	8.71053	-8.9552
-5.12821	9.73684	-9.22506
-5.12821	10.7632	-9.07644
-5.12821	11.7895	-8.59961
-5.12821	12.8158	-8.02662
-5.12821	13.8421	-7.84105
-5.12821	14.8684	-7.66711
-5.12821	15.8947	-6.92541
-5.12821	16.9211	-6.78039
-5.12821	17.9474	-6.64383
-5.12821	18.9737	-6.04389
-5.12821	20	0

-3.07692	0.5	4.51616
-3.07692	1.52632	-0.307625
-3.07692	2.55263	-2.63338
-3.07692	3.57895	-4.23938
-3.07692	4.60526	-5.53232
-3.07692	5.63158	-6.7152
-3.07692	6.65789	-7.77001
-3.07692	7.68421	-8.46763
-3.07692	8.71053	-9.0648
-3.07692	9.73684	-9.20254
-3.07692	10.7632	-9.12111
-3.07692	11.7895	-8.90596
-3.07692	12.8158	-8.70443
-3.07692	13.8421	-8.51516
-3.07692	14.8684	-7.68407
-3.07692	15.8947	-7.51925
-3.07692	16.9211	-6.76939
-3.07692	17.9474	-6.38762
-3.07692	18.9737	-6.03674
-3.07692	20	0

-1.02564	0.5	3.92173
-1.02564	1.52632	-0.964442
-1.02564	2.55263	-3.12528
-1.02564	3.57895	-4.29802
-1.02564	4.60526	-5.27649
-1.02564	5.63158	-6.15619
-1.02564	6.65789	-7.02385
-1.02564	7.68421	-7.90328
-1.02564	8.71053	-8.66594
-1.02564	9.73684	-9.33392
-1.02564	10.7632	-9.28984
-1.02564	11.7895	-9.0833
-1.02564	12.8158	-8.69596
-1.02564	13.8421	-8.50957
-1.02564	14.8684	-8.33348
-1.02564	15.8947	-7.49979
-1.02564	16.9211	-7.34683
-1.02564	17.9474	-6.12728
-1.02564	18.9737	-4.66516
-1.02564	20	0

1.02564	0.5	5.58226
1.02564	1.52632	0.721751
1.02564	2.55263	-1.62293
1.02564	3.57895	-3.23231
1.02564	4.60526	-4.50064
1.02564	5.63158	-5.62015
1.02564	6.65789	-6.53994
1.02564	7.68421	-7.38373
1.02564	8.71053	-8.17984
1.02564	9.73684	-9.11644
1.02564	10.7632	-9.21798
1.02564	11.7895	-9.02297
1.02564	12.8158	-8.8373
1.02564	13.8421	-8.66058
1.02564	14.8684	-8.2943
1.02564	15.8947	-8.13251
1.02564	16.9211	-7.58561
1.02564	17.9474	-6.59259
1.02564	18.9737	-3.59862
1.02564	20	0

3.07692	0.5	6.12672
3.07692	1.52632	1.24583
3.07692	2.55263	-1.11161
3.07692	3.57895	-2.72732
3.07692	4.60526	-3.99004
3.07692	5.63158	-5.05733
3.07692	6.65789	-6.01929
3.07692	7.68421	-6.96444
3.07692	8.71053	-7.97162
3.07692	9.73684	-8.93255
3.07692	10.7632	-9.10691
3.07692	11.7895	-8.92563
3.07692	12.8158	-8.75156
3.07692	13.8421	-8.58468
3.07692	14.8684	-8.42485
3.07692	15.8947	-7.85733
3.07692	16.9211	-7.29096
3.07692	17.9474	-5.01831
3.07692	18.9737	-2.83966
3.07692	20	0

5.12821	0.5	6.321
5.12821	1.52632	1.4276
5.12821	2.55263	-0.939798
5.12821	3.57895	-2.56541
5.12821	4.60526	-3.83923
5.12821	5.63158	-4.92081
5.12821	6.65789	-5.90786
5.12821	7.68421	-6.87562
5.12821	8.71053	-7.74157
5.12821	9.73684	-8.83295
5.12821	10.7632	-8.96756
5.12821	11.7895	-8.80016
5.12821	12.8158	-8.63838
5.12821	13.8421	-8.48237
5.12821	14.8684	-7.92043
5.12821	15.8947	-7.05287
5.12821	16.9211	-5.69207
5.12821	17.9474	-4.33769
5.12821	18.9737	-2.19587
