# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-104.615	9.21053	99.3201
-104.615	11.2632	71.1061
-104.615	13.3158	47.0661
-104.615	15.3684	25.9285
-104.615	17.4211	7.6227
-104.615	19.4737	-8.78317
-104.615	21.5263	-11.8335
-104.615	23.5789	-10.9017
-104.615	25.6316	-9.67696
-104.615	27.6842	-8.32461
-104.615	29.7368	-7.37499
-104.615	31.7895	-6.14698
-104.615	33.8421	-4.73756
-104.615	35.8947	-3.28519
-104.615	37.9474	-1.82308
-104.615	40	0

-92.3077	1	387.722
-92.3077	3.05263	243.49
-92.3077	5.10526	174.888
-92.3077	7.15789	127.979
-92.3077	9.21053	93.768
-92.3077	11.2632	66.1218
-92.3077	13.3158	42.8675
-92.3077	15.3684	22.577
-92.3077	17.4211	4.78223
-92.3077	19.4737	-11.396
-92.3077	21.5263	-14.5523
-92.3077	23.5789	-13.2287
-92.3077	25.6316	-12.0186
-92.3077	27.6842	-10.7959
-92.3077	29.7368	-9.29702
-92.3077	31.7895	-7.47406
-92.3077	33.8421	-5.66605
-92.3077	35.8947	-3.46265
-92.3077	37.9474	-2.21338
-92.3077	40	0

-80	1	375.613
-80	3.05263	236.22
-80	5.10526	169.591
-80	7.15789	124.01
-80	9.21053	90.6306
-80	11.2632	63.442
-80	13.3158	39.7238
-80	15.3684	19.4434
-80	17.4211	1.54358
-80	19.4737	-14.2384
-80	21.5263	-16.7343
-80	23.5789	-15.3897
-80	25.6316	-13.7701
-80	27.6842	-12.321
-80	29.7368	-10.474
-80	31.7895	-8.88958
-80	33.8421	-6.92985
-80	35.8947	-4.96309
-80	37.9474	-2.44417
-80	40	0

-67.6923	1	362.9
-67.6923	3.05263	227.663
-67.6923	5.10526	161.916
-67.6923	7.15789	117.762
-67.6923	9.21053	85.3173
-67.6923	11.2632	58.6529
-67.6923	13.3158	35.752
-67.6923	15.3684	16.1258
-67.6923	17.4211	-1.388
-67.6923	19.4737	-16.9032
-67.6923	21.5263	-19.4609
-67.6923	23.5789	-17.8439
-67.6923	25.6316	-16.1586
-67.6923	27.6842	-13.9668
-67.6923	29.7368	-12.0793
-67.6923	31.7895	-10.0467
-67.6923	33.8421	-7.87856
-67.6923	35.8947	-5.27388
-67.6923	37.9474	-2.94363
-67.6923	40	0

-55.3846	1	352.487
-55.3846	3.05263	221.455
-55.3846	5.10526	158.4
-55.3846	7.15789	115.572
-55.3846	9.21053	82.0525
-55.3846	11.2632	55.4731
-55.3846	13.3158	32.8946
-55.3846	15.3684	13.5477
-55.3846	17.4211	-3.91118
-55.3846	19.4737	-19.6038
-55.3846	21.5263	-22.1956
-55.3846	23.5789	-20.2771
-55.3846	25.6316	-18.1559
-55.3846	27.6842	-16.2668
-55.3846	29.7368	-14.1948
-55.3846	31.7895	-11.6698
-55.3846	33.8421	-8.9211
-55.3846	35.8947	-5.98147
-55.3846	37.9474	-3.26868
-55.3846	40	0

-43.0769	1	341.277
-43.0769	3.05263	214.714
-43.0769	5.10526	153.03
-43.0769	7.15789	110.841
-43.0769	9.21053	77.9513
-43.0769	11.2632	51.7831
-43.0769	13.3158	29.6663
-43.0769	15.3684	10.1855
-43.0769	17.4211	-6.53602
-43.0769	19.4737	-21.9473
-43.0769	21.5263	-24.0134
-43.0769	23.5789	-22.2575
-43.0769	25.6316	-20.1243
-43.0769	27.6842	-17.9686
-43.0769	29.7368	-15.592
-43.0769	31.7895	-13.0685
-43.0769	33.8421	-10.2174
-43.0769	35.8947	-7.45171
-43.0769	37.9474	-3.99249
-43.0769	40	0

-30.7692	1	330.322
-30.7692	3.05263	208.369
-30.7692	5.10526	147.719
-30.7692	7.15789	105.731
-30.7692	9.21053	74.534
-30.7692	11.2632	48.7244
-30.7692	13.3158	27.0247
-30.7692	15.3684	8.04098
-30.7692	17.4211	-8.73482
-30.7692	19.4737	-23.7671
-30.7692	21.5263	-25.8703
-30.7692	23.5789	-23.8472
-30.7692	25.6316	-21.5035
-30.7692	27.6842	-19.2124
-30.7692	29.7368	-16.9127
-30.7692	31.7895	-14.3551
-30.7692	33.8421	-11.7762
-30.7692	35.8947	-8.20326
-30.7692	37.9474	-4.37104
-30.7692	40	0

-18.4615	1	325.548
-18.4615	3.05263	205.907
-18.4615	5.10526	146.046
-18.4615	7.15789	103.794
-18.4615	9.21053	72.5549
-18.4615	11.2632	47.8303
-18.4615	13.3158	26.1172
-18.4615	15.3684	7.06836
-18.4615	17.4211	-9.87349
-18.4615	19.4737	-25.2695
-18.4615	21.5263	-27.5208
-18.4615	23.5789	-25.0735
-18.4615	25.6316	-22.926
-18.4615	27.6842	-20.5771
-18.4615	29.7368	-18.13
-18.4615	31.7895	-15.0066
-18.4615	33.8421	-11.8565
-18.4615	35.8947	-7.88998
-18.4615	37.9474	-4.24344
-18.4615	40	0

-6.15385	1	324.276
-6.15385	3.05263	204.162
-6.15385	5.10526	144.577
-6.15385	7.15789	104.542
-6.15385	9.21053	72.4526
-6.15385	11.2632	46.7694
-6.15385	13.3158	25.1732
-6.15385	15.3684	6.54372
-6.15385	17.4211	-10.6055
-6.15385	19.4737	-25.4683
-6.15385	21.5263	-27.6367
-6.15385	23.5789	-25.5467
-6.15385	25.6316	-23.1949
-6.15385	27.6842	-20.702
-6.15385	29.7368	-17.8399
-6.15385	31.7895	-14.5368
-6.15385	33.8421	-11.384
-6.15385	35.8947	-7.93482
-6.15385	37.9474	-4.53712
-6.15385	40	0

6.15385	1	327.804
6.15385	3.05263	207.491
6.15385	5.10526	147.03
6.15385	7.15789	105.155
6.15385	9.21053	73.5082
6.15385	11.2632	47.8512
6.15385	13.3158	25.9677
6.15385	15.3684	7.87319
6.15385	17.4211	-8.90476
6.15385	19.4737	-23.7244
6.15385	21.5263	-25.8116
6.15385	23.5789	-23.7473
6.15385	25.6316	-21.7128
6.15385	27.6842	-19.4873
6.15385	29.7368	-16.9739
6.15385	31.7895	-14.0862
6.15385	33.8421	-11.498
6.15385	35.8947	-8.03103
6.15385	37.9474	-4.47125
6.15385	40	0

18.4615	1	335.532
18.4615	3.05263	211.1
18.4615	5.10526	150.323
18.4615	7.15789	108.204
18.4615	9.21053	75.9753
18.4615	11.2632	49.9804
18.4615	13.3158	28.7517
18.4615	15.3684	10.0781
18.4615	17.4211	-6.33949
18.4615	19.4737	-21.707
18.4615	21.5263	-24.1185
18.4615	23.5789	-22.1871
18.4615	25.6316	-20.1725
18.4615	27.6842	-17.9655
18.4615	29.7368	-15.5696
18.4615	31.7895	-12.9522
18.4615	33.8421	-10.1435
18.4615	35.8947	-7.07243
18.4615	37.9474	-3.66422
18.4615	40	0

30.7692	1	347.312
30.7692	3.05263	221.114
30.7692	5.10526	157.095
30.7692	7.15789	114.062
30.7692	9.21053	81.1485
30.7692	11.2632	54.7255
30.7692	13.3158	32.7711
30.7692	15.3684	13.2816
30.7692	17.4211	-3.62015
30.7692	19.4737	-19.5262
30.7692	21.5263	-21.5857
30.7692	23.5789	-19.7797
30.7692	25.6316	-17.9855
30.7692	27.6842	-16.1374
30.7692	29.7368	-13.7993
30.7692	31.7895	-11.2995
30.7692	33.8421	-8.70104
30.7692	35.8947	-6.24625
30.7692	37.9474	-3.04603
30.7692	40	0

43.0769	1	361.531
43.0769	3.05263	228.238
43.0769	5.10526	163.126
43.0769	7.15789	119.519
43.0769	9.21053	85.3372
43.0769	11.2632	58.4195
43.0769	13.3158	35.5923
43.0769	15.3684	16.1673
43.0769	17.4211	-1.09192
43.0769	19.4737	-16.5941
43.0769	21.5263	-19.0402
43.0769	23.5789	-17.3644
43.0769	25.6316	-15.8499
43.0769	27.6842	-13.9076
43.0769	29.7368	-12.3984
43.0769	31.7895	-10.1173
43.0769	33.8421	-7.73586
43.0769	35.8947	-5.58701
43.0769	37.9474	-2.97557
43.0769	40	0

55.3846	1	371.017
55.3846	3.05263	234.619
55.3846	5.10526	167.968
55.3846	7.15789	123.505
55.3846	9.21053	89.4559
55.3846	11.2632	62.1418
55.3846	13.3158	39.0932
55.3846	15.3684	19.0169
55.3846	17.4211	1.179
55.3846	19.4737	-14.6508
55.3846	21.5263	-17.036
55.3846	23.5789	-15.5533
55.3846	25.6316	-14.0722
55.3846	27.6842	-12.4808
55.3846	29.7368	-10.8001
55.3846	31.7895	-9.11494
55.3846	33.8421	-6.49071
55.3846	35.8947	-4.70302
55.3846	37.9474	-2.69327
55.3846	40	0

67.6923	1	383.518
67.6923	3.05263	243.197
67.6923	5.10526	174.284
67.6923	7.15789	128.716
67.6923	9.21053	94.0624
