         187         144
          15
           7  7.958029688933516E-006  8.786924841157580E-008
          16  1.326116106750243E-012  1.398243546452992E-014
          36  6.727435578715922E-025  6.964338766140287E-027
          37  9.977445065593210E-006  1.082281484943398E-007
          46  2.784788788555759E-019  2.881436894295634E-021
          61  2.785968176412634E-013  2.914806765342532E-015
          64  3.863160950709811E-006  4.219393656015148E-008
          74  5.005822969732041E-008  5.360177479578282E-010
          85  1.101692489068517E-011  1.168564387778277E-013
          91  3.875423644856741E-005  4.202316175393734E-007
         101  1.176021650325784E-012  1.271286476302976E-014
         123  8.040965119235028E-005  8.791034706982739E-007
         131  3.326387895509178E-005  3.660376315426395E-007
         134  6.108848609825174E-015  6.392436882394233E-017
         140  4.107426346058786E-022  4.265853709679020E-024
          23
           1  4.102314572971326E-010  4.479322549748011E-012
           5  1.164492728932140E-005  1.282535902214681E-007
           9  4.548925695756064E-029  4.737737333147956E-031
          11  2.771424512078607E-008  3.011735258113791E-010
          13  6.868751908343081E-007  7.483514142425577E-009
          18  4.394863061478785E-007  4.819607915339572E-009
          25  1.831855080495467E-011  2.005077833252006E-013
          54  1.526036938172431E-006  1.689971993613804E-008
          57  1.565455416862710E-014  1.708716334317695E-016
          59  1.013193726950268E-008  1.093841938415083E-010
          63  8.258967168094287E-010  8.947045682820452E-012
          73  4.595140569443593E-007  5.034027975702137E-009
          75  1.263704232594204E-006  1.386054526319484E-008
          77  2.031103257490383E-007  2.220570296464952E-009
          83  1.234699318701233E-011  1.344405707505094E-013
          89  1.232858144254314E-015  1.310357545027077E-017
          93  7.364021987381545E-020  7.871753479276223E-022
         121  1.640657864591589E-011  1.822190630817174E-013
         124  1.345792991548894E-016  1.409916042047426E-018
         125  3.255672380750785E-008  3.542858535068175E-010
         127  2.669164888211180E-012  2.831019720016727E-014
         137  1.364554149553324E-004  1.498849512218138E-006
         143  4.024601291063128E-010  4.464316402431682E-012
          13
          19  9.131595751914098E-015  1.386660067477543E-016
          27  1.162784127720688E-002  1.739448596629830E-004
          41  1.980078850103719E-008  2.914213862532478E-010
          48  6.226972717284555E-004  9.342027573524967E-006
          58  3.435607071357675E-006  6.048903100193671E-008
          68  4.897302979846790E-003  7.608594544644374E-005
          76  1.545160495308483E-006  2.325369830503854E-008
          87  2.079160784628902E-007  3.107801123769404E-009
          90  1.092028573343457E-007  1.928478040857743E-009
         104  3.303470135713359E-005  4.930004102718553E-007
         115  8.170774048768780E-021  1.127895089306934E-022
         138  1.281197663577547E-002  1.919609846600533E-004
         144  6.571700723010063E-006  9.936019420539709E-008
           0
          16
           1  9.401118736463016E-007  1.232255350833385E-008
          11  3.449152022257703E-028  3.584628020385262E-030
          19  7.021135017464717E-007  1.007555653610691E-008
          25  6.975140454079643E-006  9.319849589304385E-008
          34  4.925261917654098E-014  5.847078104866666E-016
          35  2.665580671845088E-008  3.416439662424238E-010
          50  6.984841824513106E-012  9.863362599064914E-014
          55  2.310931561660490E-008  2.923685964781025E-010
          82  8.027387319552307E-004  1.145040518993719E-005
          89  8.570401821588619E-005  1.167986973191026E-006
          93  1.260865991606213E-006  1.765373102346100E-008
