# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-13.3044	39.4206
6	38.9559	-12.1939	26.762
7	28.9508	-11.2057	17.7452
8	21.5398	-10.3109	11.2289
9	16.0167	-9.4904	6.52627
10	11.8845	-8.73082	3.15366
11	8.77476	-8.02244	0.752319
12	6.42949	-7.35774	-0.928246
13	4.66798	-6.7314	-2.06343
14	3.35262	-6.1396	-2.78698
15	2.37733	-5.57851	-3.20117
16	1.66072	-5.04554	-3.38482
17	1.14081	-4.53985	-3.39904
18	0.769418	-4.06076	-3.29134
19	0.508449	-3.60833	-3.09989
20	0.328526	-3.18322	-2.85469
21	0.207166	-2.78605	-2.57889
22	0.127192	-2.41755	-2.29035
23	0.0758484	-2.07862	-2.00277
24	0.0437906	-1.76974	-1.72595
25	0.0243592	-1.49107	-1.46671
26	0.0130027	-1.2425	-1.2295
27	0.00662333	-1.02329	-1.01666
28	0.00319178	-0.832281	-0.829089
29	0.00144793	-0.667935	-0.666487
30	0.000609022	-0.528298	-0.527689
31	0.000231876	-0.411118	-0.410886
32	7.82673e-05	-0.314091	-0.314013
33	2.39091e-05	-0.234812	-0.234788
34	6.69474e-06	-0.170874	-0.170867
35	1.68316e-06	-0.12	-0.119998
36	3.85376e-07	-0.0800589	-0.0800585
37	1.56234e-07	-0.0491157	-0.0491155
38	5.20779e-08	-0.0254612	-0.0254611
39	0	-0.00763018	-0.00763018
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
