# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-19.5945	33.1305
6	38.9559	-18.059	20.8968
7	28.9508	-16.676	12.2748
8	21.5398	-15.4111	6.12866
9	16.0167	-14.2413	1.77534
10	11.8845	-13.1504	-1.26591
11	8.77476	-12.1264	-3.35159
12	6.42949	-11.1599	-4.73039
13	4.66798	-10.2444	-5.57641
14	3.35262	-9.3751	-6.02248
15	2.37733	-8.54721	-6.16987
16	1.66072	-7.75746	-6.09674
17	1.14081	-7.00494	-5.86413
18	0.769418	-6.28897	-5.51955
19	0.508449	-5.60988	-5.10143
20	0.328526	-4.96882	-4.64029
21	0.207166	-4.36697	-4.15981
22	0.127192	-3.80566	-3.67847
23	0.0758484	-3.28654	-3.21069
24	0.0437906	-2.81066	-2.76687
25	0.0243592	-2.37872	-2.35436
26	0.0130027	-1.99098	-1.97798
27	0.00662333	-1.64682	-1.6402
28	0.00319178	-1.34501	-1.34182
29	0.00144793	-1.08368	-1.08223
30	0.000609022	-0.860267	-0.859658
31	0.000231876	-0.671696	-0.671464
32	7.82673e-05	-0.514713	-0.514635
33	2.39091e-05	-0.385813	-0.385789
34	6.69474e-06	-0.281401	-0.281394
35	1.68316e-06	-0.198002	-0.198
36	3.85376e-07	-0.132311	-0.132311
37	1.56234e-07	-0.0812782	-0.081278
38	5.20779e-08	-0.0421771	-0.0421771
39	0	-0.0126478	-0.0126478
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
