# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-16.4369	36.2881
6	38.9559	-15.4274	23.5284
7	28.9508	-14.476	14.4749
8	21.5398	-13.5731	7.9667
9	16.0167	-12.7118	3.30489
10	11.8845	-11.8869	-0.00237931
11	8.77476	-11.0942	-2.31948
12	6.42949	-10.3306	-3.90106
13	4.66798	-9.59344	-4.92546
14	3.35262	-8.88121	-5.52859
15	2.37733	-8.19197	-5.81463
16	1.66072	-7.52453	-5.8638
17	1.14081	-6.87894	-5.73814
18	0.769418	-6.25543	-5.48601
19	0.508449	-5.65482	-5.14637
20	0.328526	-5.07852	-4.74999
21	0.207166	-4.52807	-4.3209
22	0.127192	-4.00523	-3.87804
23	0.0758484	-3.51216	-3.43631
24	0.0437906	-3.05074	-3.00695
25	0.0243592	-2.62276	-2.5984
26	0.0130027	-2.22983	-2.21683
27	0.00662333	-1.87296	-1.86634
28	0.00319178	-1.55268	-1.54949
29	0.00144793	-1.2689	-1.26745
30	0.000609022	-1.02082	-1.02021
31	0.000231876	-0.806931	-0.806699
32	7.82673e-05	-0.625278	-0.6252
33	2.39091e-05	-0.473358	-0.473334
34	6.69474e-06	-0.348251	-0.348244
35	1.68316e-06	-0.246857	-0.246855
36	3.85376e-07	-0.16598	-0.16598
37	1.56234e-07	-0.102477	-0.102476
38	5.20779e-08	-0.0533895	-0.0533894
39	0	-0.0160507	-0.0160507
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
