5 3.91722
5.5 3.30233
6 2.81435
6.5 2.41341
7 2.077
7.5 1.79105
8 1.54618
8.5 1.33532
9 1.154
9.5 0.998465
10 0.866181
10.5 0.752757
11 0.654128
11.5 0.568014
12 0.492447
12.5 0.426333
13 0.36874
13.5 0.31839
14 0.274322
14.5 0.235944
15 0.202485
15.5 0.173323
16 0.147859
16.5 0.125646
17 0.106322
17.5 0.0896721
18 0.0752454
18.5 0.0628974
19 0.0523396
19.5 0.0432857
20 0.0356228
20.5 0.0291592
21 0.0237088
21.5 0.0191586
22 0.0153894
22.5 0.0122607
23 0.00971202
23.5 0.00763235
24 0.00596069
24.5 0.00462867
25 0.00353912
25.5 0.00268329
26 0.00201293
26.5 0.0014995
27 0.00110588
27.5 0.000800437
28 0.000571765
28.5 0.000403701
29 0.000280786
29.5 0.000193497
30 0.000129346
30.5 8.478e-05
31 5.50363e-05
31.5 3.32225e-05
32 2.00614e-05
32.5 1.18342e-05
33 6.51372e-06
33.5 3.59691e-06
34 1.9022e-06
34.5 1.04833e-06
35 5.47906e-07
35.5 2.11321e-07
36 8.6565e-08
36.5 5.09206e-08
37 2.54603e-08
37.5 2.54603e-08
38 2.54603e-08
38.5 0
39 0
39.5 0
40 0
40.5 0
41 0
41.5 0
42 0
42.5 0
43 0
43.5 0
44 0
44.5 0
45 0
45.5 0
46 0
46.5 0
47 0
47.5 0
48 0
48.5 0
49 0
49.5 0
50 0
