# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-14.2818	38.4432
6	38.9559	-13.3605	25.5954
7	28.9508	-12.4982	16.4526
8	21.5398	-11.6849	9.85482
9	16.0167	-10.9133	5.10341
10	11.8845	-10.1777	1.70681
11	8.77476	-9.47395	-0.699184
12	6.42949	-8.79858	-2.36909
13	4.66798	-8.1491	-3.48113
14	3.35262	-7.52376	-4.17114
15	2.37733	-6.92058	-4.54324
16	1.66072	-6.33831	-4.67759
17	1.14081	-5.77693	-4.63612
18	0.769418	-5.23651	-4.46709
19	0.508449	-4.71773	-4.20928
20	0.328526	-4.2218	-3.89327
21	0.207166	-3.75001	-3.54285
22	0.127192	-3.30384	-3.17665
23	0.0758484	-2.88507	-2.80922
24	0.0437906	-2.49521	-2.45142
25	0.0243592	-2.13562	-2.11126
26	0.0130027	-1.80745	-1.79444
27	0.00662333	-1.51126	-1.50464
28	0.00319178	-1.24717	-1.24398
29	0.00144793	-1.01474	-1.01329
30	0.000609022	-0.812905	-0.812296
31	0.000231876	-0.64002	-0.639788
32	7.82673e-05	-0.494117	-0.494038
33	2.39091e-05	-0.372819	-0.372795
34	6.69474e-06	-0.273475	-0.273468
35	1.68316e-06	-0.193356	-0.193355
36	3.85376e-07	-0.129726	-0.129726
37	1.56234e-07	-0.0799503	-0.0799501
38	5.20779e-08	-0.0415943	-0.0415942
39	0	-0.0124933	-0.0124933
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
