# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.000552027	0.00872236
6	0.00666324	-0.000514387	0.00614885
7	0.00491749	-0.00048368	0.00443381
8	0.00366073	-0.000457693	0.00320303
9	0.0027322	-0.000435528	0.00229668
10	0.00205077	-0.000415902	0.00163486
11	0.00154871	-0.000398661	0.00115005
12	0.00116591	-0.000383068	0.000782847
13	0.000873027	-0.000368694	0.000504332
14	0.000649483	-0.000355135	0.000294348
15	0.000479402	-0.000343045	0.000136357
16	0.00035007	-0.000330917	1.91532e-05
17	0.000251727	-0.000318881	-6.7154e-05
18	0.000178151	-0.00030665	-0.0001285
19	0.000123919	-0.00029383	-0.000169911
20	8.43403e-05	-0.000280208	-0.000195867
21	5.61328e-05	-0.00026588	-0.000209748
22	3.64359e-05	-0.000250561	-0.000214125
23	2.29941e-05	-0.00023416	-0.000211166
24	1.41125e-05	-0.000217102	-0.00020299
25	8.3792e-06	-0.00019912	-0.00019074
26	4.7658e-06	-0.000180734	-0.000175968
27	2.61828e-06	-0.000162096	-0.000159478
28	1.35371e-06	-0.000143586	-0.000142233
29	6.64787e-07	-0.000125452	-0.000124787
30	3.06239e-07	-0.00010817	-0.000107864
31	1.30304e-07	-9.19434e-05	-9.18131e-05
32	4.74973e-08	-7.69379e-05	-7.68904e-05
33	1.54218e-08	-6.34629e-05	-6.34475e-05
34	4.50364e-09	-5.1527e-05	-5.15225e-05
35	1.29722e-09	-4.12094e-05	-4.12082e-05
36	2.04951e-10	-3.24417e-05	-3.24415e-05
37	6.02797e-11	-2.51734e-05	-2.51734e-05
38	6.02797e-11	-1.92232e-05	-1.92232e-05
39	-0	-1.44609e-05	-1.44609e-05
40	-0	0	-0
41	-0	0	-0
42	-0	0	-0
43	-0	0	-0
44	-0	0	-0
45	-0	0	-0
46	-0	0	-0
47	-0	0	-0
48	-0	0	-0
49	-0	0	-0
50	-0	0	-0
51	-0	0	-0
52	-0	0	-0
53	-0	0	-0
54	-0	0	-0
55	-0	0	-0
56	-0	0	-0
57	-0	0	-0
58	-0	0	-0
59	-0	0	-0
60	-0	0	-0
61	-0	0	-0
62	-0	0	-0
63	-0	0	-0
64	-0	0	-0
65	-0	0	-0
66	-0	0	-0
67	-0	0	-0
68	-0	0	-0
69	-0	0	-0
70	-0	0	-0
71	-0	0	-0
72	-0	0	-0
73	-0	0	-0
74	-0	0	-0
75	-0	0	-0
76	-0	0	-0
77	-0	0	-0
78	-0	0	-0
79	-0	0	-0
80	-0	0	-0
