# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.000675837	0.00859855
6	0.00666324	-0.000641105	0.00602213
7	0.00491749	-0.00061212	0.00430537
8	0.00366073	-0.000587095	0.00307363
9	0.0027322	-0.000565367	0.00216684
10	0.00205077	-0.000545812	0.00150495
11	0.00154871	-0.000528376	0.00102033
12	0.00116591	-0.000512387	0.000653527
13	0.000873027	-0.000497455	0.000375572
14	0.000649483	-0.00048319	0.000166293
15	0.000479402	-0.00047032	9.08215e-06
16	0.00035007	-0.000457258	-0.000107188
17	0.000251727	-0.000444141	-0.000192413
18	0.000178151	-0.000430645	-0.000252495
19	0.000123919	-0.000416313	-0.000292394
20	8.43403e-05	-0.000400864	-0.000316524
21	5.61328e-05	-0.00038436	-0.000328227
22	3.64359e-05	-0.000366405	-0.00032997
23	2.29941e-05	-0.000346808	-0.000323814
24	1.41125e-05	-0.000325987	-0.000311875
25	8.3792e-06	-0.000303517	-0.000295137
26	4.7658e-06	-0.000279945	-0.000275179
27	2.61828e-06	-0.000255378	-0.00025276
28	1.35371e-06	-0.000230249	-0.000228896
29	6.64787e-07	-0.000204855	-0.00020419
30	3.06239e-07	-0.00017987	-0.000179564
31	1.30304e-07	-0.000155645	-0.000155515
32	4.74973e-08	-0.000132517	-0.00013247
33	1.54218e-08	-0.000111098	-0.000111082
34	4.50364e-09	-9.15645e-05	-9.156e-05
35	1.29722e-09	-7.4221e-05	-7.42197e-05
36	2.04951e-10	-5.91235e-05	-5.91233e-05
37	6.02797e-11	-4.63416e-05	-4.63416e-05
38	6.02797e-11	-3.5688e-05	-3.56879e-05
39	-0	-2.70323e-05	-2.70323e-05
40	-0	0	-0
41	-0	0	-0
42	-0	0	-0
43	-0	0	-0
44	-0	0	-0
45	-0	0	-0
46	-0	0	-0
47	-0	0	-0
48	-0	0	-0
49	-0	0	-0
50	-0	0	-0
51	-0	0	-0
52	-0	0	-0
53	-0	0	-0
54	-0	0	-0
55	-0	0	-0
56	-0	0	-0
57	-0	0	-0
58	-0	0	-0
59	-0	0	-0
60	-0	0	-0
61	-0	0	-0
62	-0	0	-0
63	-0	0	-0
64	-0	0	-0
65	-0	0	-0
66	-0	0	-0
67	-0	0	-0
68	-0	0	-0
69	-0	0	-0
70	-0	0	-0
71	-0	0	-0
72	-0	0	-0
73	-0	0	-0
74	-0	0	-0
75	-0	0	-0
76	-0	0	-0
77	-0	0	-0
78	-0	0	-0
79	-0	0	-0
80	-0	0	-0
