# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-8.85768	43.8673
6	38.9559	-8.19949	30.7564
7	28.9508	-7.59781	21.353
8	21.5398	-7.04149	14.4983
9	16.0167	-6.52264	9.49403
10	11.8845	-6.0355	5.84898
11	8.77476	-5.57573	3.19904
12	6.42949	-5.13983	1.28967
13	4.66798	-4.72532	-0.0573472
14	3.35262	-4.33041	-0.977792
15	2.37733	-3.95321	-1.57588
16	1.66072	-3.59246	-1.93174
17	1.14081	-3.24788	-2.10707
18	0.769418	-2.91929	-2.14987
19	0.508449	-2.60694	-2.09849
20	0.328526	-2.31144	-1.98292
21	0.207166	-2.03345	-1.82628
22	0.127192	-1.77364	-1.64645
23	0.0758484	-1.53291	-1.45706
24	0.0437906	-1.31182	-1.26803
25	0.0243592	-1.11082	-1.08646
26	0.0130027	-0.930128	-0.917125
27	0.00662333	-0.769557	-0.762934
28	0.00319178	-0.628616	-0.625424
29	0.00144793	-0.506494	-0.505046
30	0.000609022	-0.402052	-0.401443
31	0.000231876	-0.313882	-0.31365
32	7.82673e-05	-0.240482	-0.240404
33	2.39091e-05	-0.180221	-0.180197
34	6.69474e-06	-0.13142	-0.131413
35	1.68316e-06	-0.0924521	-0.0924504
36	3.85376e-07	-0.0617677	-0.0617673
37	1.56234e-07	-0.0379373	-0.0379371
38	5.20779e-08	-0.0196838	-0.0196838
39	0	-0.00590212	-0.00590212
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
