# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.000449513	0.00882487
6	0.00666324	-0.000411961	0.00625128
7	0.00491749	-0.000381998	0.0045355
8	0.00366073	-0.000357123	0.0033036
9	0.0027322	-0.000336263	0.00239594
10	0.00205077	-0.00031807	0.00173269
11	0.00154871	-0.000302308	0.0012464
12	0.00116591	-0.000288231	0.000877683
13	0.000873027	-0.000275407	0.00059762
14	0.000649483	-0.000263443	0.00038604
15	0.000479402	-0.000252888	0.000226514
16	0.00035007	-0.000242406	0.000107665
17	0.000251727	-0.000232109	1.96181e-05
18	0.000178151	-0.000221754	-4.36039e-05
19	0.000123919	-0.00021102	-8.71011e-05
20	8.43403e-05	-0.000199748	-0.000115408
21	5.61328e-05	-0.000188043	-0.00013191
22	3.64359e-05	-0.0001757	-0.000139264
23	2.29941e-05	-0.000162683	-0.000139688
24	1.41125e-05	-0.000149364	-0.000135252
25	8.3792e-06	-0.000135568	-0.000127188
26	4.7658e-06	-0.000121723	-0.000116957
27	2.61828e-06	-0.00010796	-0.000105342
28	1.35371e-06	-9.45632e-05	-9.32095e-05
29	6.64787e-07	-8.17027e-05	-8.10379e-05
30	3.06239e-07	-6.96919e-05	-6.93856e-05
31	1.30304e-07	-5.86333e-05	-5.85029e-05
32	4.74973e-08	-4.85958e-05	-4.85483e-05
33	1.54218e-08	-3.97373e-05	-3.97219e-05
34	4.50364e-09	-3.20136e-05	-3.20091e-05
35	1.29722e-09	-2.54304e-05	-2.54291e-05
36	2.04951e-10	-1.99041e-05	-1.99039e-05
37	6.02797e-11	-1.53703e-05	-1.53702e-05
38	6.02797e-11	-1.16907e-05	-1.16906e-05
39	-0	-8.76639e-06	-8.76639e-06
40	-0	0	-0
41	-0	0	-0
42	-0	0	-0
43	-0	0	-0
44	-0	0	-0
45	-0	0	-0
46	-0	0	-0
47	-0	0	-0
48	-0	0	-0
49	-0	0	-0
50	-0	0	-0
51	-0	0	-0
52	-0	0	-0
53	-0	0	-0
54	-0	0	-0
55	-0	0	-0
56	-0	0	-0
57	-0	0	-0
58	-0	0	-0
59	-0	0	-0
60	-0	0	-0
61	-0	0	-0
62	-0	0	-0
63	-0	0	-0
64	-0	0	-0
65	-0	0	-0
66	-0	0	-0
67	-0	0	-0
68	-0	0	-0
69	-0	0	-0
70	-0	0	-0
71	-0	0	-0
72	-0	0	-0
73	-0	0	-0
74	-0	0	-0
75	-0	0	-0
76	-0	0	-0
77	-0	0	-0
78	-0	0	-0
79	-0	0	-0
80	-0	0	-0
