# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.0013368	0.00793759
6	0.00666324	-0.00121293	0.00545031
7	0.00491749	-0.00111738	0.00380011
8	0.00366073	-0.00104002	0.00262071
9	0.0027322	-0.000976356	0.00175585
10	0.00205077	-0.000921652	0.00112911
11	0.00154871	-0.000874812	0.000673898
12	0.00116591	-0.000833378	0.000332537
13	0.000873027	-0.000795927	7.70998e-05
14	0.000649483	-0.000761224	-0.000111741
15	0.000479402	-0.000730777	-0.000251375
16	0.00035007	-0.000700681	-0.000350611
17	0.000251727	-0.000671245	-0.000419518
18	0.000178151	-0.000641752	-0.000463602
19	0.000123919	-0.00061128	-0.000487361
20	8.43403e-05	-0.000579374	-0.000495034
21	5.61328e-05	-0.000546323	-0.00049019
22	3.64359e-05	-0.000511532	-0.000475096
23	2.29941e-05	-0.000474878	-0.000451884
24	1.41125e-05	-0.00043738	-0.000423267
25	8.3792e-06	-0.000398494	-0.000390114
26	4.7658e-06	-0.000359379	-0.000354613
27	2.61828e-06	-0.000320346	-0.000317728
28	1.35371e-06	-0.000282153	-0.000280799
29	6.64787e-07	-0.000245243	-0.000244578
30	3.06239e-07	-0.000210498	-0.000210192
31	1.30304e-07	-0.000178222	-0.000178092
32	4.74973e-08	-0.000148645	-0.000148597
33	1.54218e-08	-0.000122283	-0.000122267
34	4.50364e-09	-9.90717e-05	-9.90672e-05
35	1.29722e-09	-7.91022e-05	-7.91009e-05
36	2.04951e-10	-6.21931e-05	-6.21929e-05
37	6.02797e-11	-4.82132e-05	-4.82132e-05
38	6.02797e-11	-3.6791e-05	-3.6791e-05
39	-0	-2.7662e-05	-2.7662e-05
40	-0	0	0
41	-0	0	0
42	-0	0	0
43	-0	0	0
44	-0	0	0
45	-0	0	0
46	-0	0	0
47	-0	0	0
48	-0	0	0
49	-0	0	0
50	-0	0	0
51	-0	0	0
52	-0	0	0
53	-0	0	0
54	-0	0	0
55	-0	0	0
56	-0	0	0
57	-0	0	0
58	-0	0	0
59	-0	0	0
60	-0	0	0
61	-0	0	0
62	-0	0	0
63	-0	0	0
64	-0	0	0
65	-0	0	0
66	-0	0	0
67	-0	0	0
68	-0	0	0
69	-0	0	0
70	-0	0	0
71	-0	0	0
72	-0	0	0
73	-0	0	0
74	-0	0	0
75	-0	0	0
76	-0	0	0
77	-0	0	0
78	-0	0	0
79	-0	0	0
80	-0	0	0
