# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-30.6276	22.0973
6	38.9559	-28.4248	10.531
7	28.9508	-26.4116	2.53924
8	21.5398	-24.5477	-3.00795
9	16.0167	-22.8057	-6.78902
10	11.8845	-21.1659	-9.28145
11	8.77476	-19.6139	-10.8391
12	6.42949	-18.1381	-11.7086
13	4.66798	-16.7305	-12.0625
14	3.35262	-15.3852	-12.0326
15	2.37733	-14.0962	-11.7189
16	1.66072	-12.8595	-11.1988
17	1.14081	-11.6743	-10.5335
18	0.769418	-10.5399	-9.77052
19	0.508449	-9.4574	-8.94895
20	0.328526	-8.42875	-8.10022
21	0.207166	-7.45621	-7.24905
22	0.127192	-6.54229	-6.4151
23	0.0758484	-5.69009	-5.61425
24	0.0437906	-4.90196	-4.85817
25	0.0243592	-4.17982	-4.15546
26	0.0130027	-3.52506	-3.51206
27	0.00662333	-2.93782	-2.9312
28	0.00319178	-2.4173	-2.41411
29	0.00144793	-1.96166	-1.96021
30	0.000609022	-1.56793	-1.56732
31	0.000231876	-1.2321	-1.23187
32	7.82673e-05	-0.949707	-0.949629
33	2.39091e-05	-0.715642	-0.715618
34	6.69474e-06	-0.524406	-0.524399
35	1.68316e-06	-0.370475	-0.370473
36	3.85376e-07	-0.248404	-0.248404
37	1.56234e-07	-0.15302	-0.15302
38	5.20779e-08	-0.0795816	-0.0795816
39	0	-0.0238982	-0.0238982
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
