# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-19.9414	32.7836
6	38.9559	-18.8036	20.1522
7	28.9508	-17.7209	11.2299
8	21.5398	-16.6849	4.85491
9	16.0167	-15.6892	0.327471
10	11.8845	-14.7292	-2.84473
11	8.77476	-13.8012	-5.02642
12	6.42949	-12.902	-6.47253
13	4.66798	-12.0296	-7.36161
14	3.35262	-11.1824	-7.82975
15	2.37733	-10.3586	-7.98126
16	1.66072	-9.55722	-7.8965
17	1.14081	-8.77847	-7.63767
18	0.769418	-8.02271	-7.25329
19	0.508449	-7.29099	-6.78254
20	0.328526	-6.585	-6.25648
21	0.207166	-5.90662	-5.69945
22	0.127192	-5.258	-5.13081
23	0.0758484	-4.64183	-4.56598
24	0.0437906	-4.06058	-4.01679
25	0.0243592	-3.51672	-3.49236
26	0.0130027	-3.01265	-2.99965
27	0.00662333	-2.55016	-2.54354
28	0.00319178	-2.13061	-2.12742
29	0.00144793	-1.75471	-1.75326
30	0.000609022	-1.42233	-1.42172
31	0.000231876	-1.13246	-1.13223
32	7.82673e-05	-0.88351	-0.883432
33	2.39091e-05	-0.673042	-0.673018
34	6.69474e-06	-0.497954	-0.497948
35	1.68316e-06	-0.354726	-0.354724
36	3.85376e-07	-0.239524	-0.239524
37	1.56234e-07	-0.148409	-0.148409
38	5.20779e-08	-0.0775407	-0.0775406
39	0	-0.0233542	-0.0233542
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
