# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-10.8648	41.8601
6	38.9559	-9.93146	29.0244
7	28.9508	-9.10582	19.845
8	21.5398	-8.36193	13.1778
9	16.0167	-7.68257	8.33411
10	11.8845	-7.05584	4.82864
11	8.77476	-6.47314	2.30162
12	6.42949	-5.92783	0.501664
13	4.66798	-5.41525	-0.747271
14	3.35262	-4.93201	-1.57938
15	2.37733	-4.47478	-2.09745
16	1.66072	-4.04131	-2.38058
17	1.14081	-3.63078	-2.48998
18	0.769418	-3.24259	-2.47317
19	0.508449	-2.87671	-2.36826
20	0.328526	-2.5336	-2.20508
21	0.207166	-2.21373	-2.00656
22	0.127192	-1.91759	-1.7904
23	0.0758484	-1.64585	-1.57001
24	0.0437906	-1.3988	-1.35501
25	0.0243592	-1.17648	-1.15212
26	0.0130027	-0.978676	-0.965673
27	0.00662333	-0.804675	-0.798051
28	0.00319178	-0.653449	-0.650257
29	0.00144793	-0.523648	-0.5222
30	0.000609022	-0.413619	-0.41301
31	0.000231876	-0.321484	-0.321252
32	7.82673e-05	-0.245347	-0.245269
33	2.39091e-05	-0.183247	-0.183223
34	6.69474e-06	-0.133243	-0.133236
35	1.68316e-06	-0.0935094	-0.0935078
36	3.85376e-07	-0.0623509	-0.0623505
37	1.56234e-07	-0.0382347	-0.0382346
38	5.20779e-08	-0.0198136	-0.0198136
39	0	-0.00593641	-0.00593641
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
