1 0.0136191
1.1 0.012316
1.2 0.0112839
1.3 0.0104248
1.4 0.00968827
1.5 0.00906017
1.6 0.00851555
1.7 0.00804989
1.8 0.0076249
1.9 0.00725219
2 0.00690993
2.1 0.0066055
2.2 0.00633285
2.3 0.00608332
2.4 0.00584817
2.5 0.00563229
2.6 0.0054301
2.7 0.00524351
2.8 0.00505907
2.9 0.00490146
3 0.00474608
3.1 0.00459595
3.2 0.00444788
3.3 0.0043034
3.4 0.00416666
3.5 0.00402808
3.6 0.00389497
3.7 0.0037575
3.8 0.00362454
3.9 0.00348984
4 0.00335227
4.1 0.00321881
4.2 0.00308161
4.3 0.00294468
4.4 0.00280882
4.5 0.00267151
4.6 0.00253444
4.7 0.00240035
4.8 0.00226707
4.9 0.00213459
5 0.00200355
5.1 0.00187625
5.2 0.00175209
5.3 0.00163114
5.4 0.00151426
5.5 0.00140192
5.6 0.00129376
5.7 0.00119076
5.8 0.00109174
5.9 0.000999209
6 0.000911176
6.1 0.000828771
6.2 0.000751523
6.3 0.00067911
6.4 0.00061185
6.5 0.000550204
6.6 0.000492562
6.7 0.00043989
6.8 0.000391494
6.9 0.000347469
7 0.000307447
7.1 0.000271239
7.2 0.000238345
7.3 0.000208917
7.4 0.000182622
7.5 0.000158986
7.6 0.000138028
7.7 0.000119414
7.8 0.000102985
7.9 8.85524e-05
