# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.000399207	0.00887518
6	0.00666324	-0.000362634	0.0063006
7	0.00491749	-0.000333807	0.00458369
8	0.00366073	-0.000310123	0.0033506
9	0.0027322	-0.000290443	0.00244176
10	0.00205077	-0.000273417	0.00177735
11	0.00154871	-0.000258771	0.00128994
12	0.00116591	-0.000245777	0.000920138
13	0.000873027	-0.000234009	0.000639017
14	0.000649483	-0.000223095	0.000426389
15	0.000479402	-0.000213515	0.000265887
16	0.00035007	-0.000204049	0.000146021
17	0.000251727	-0.000194799	5.69286e-05
18	0.000178151	-0.000185543	-7.39242e-06
19	0.000123919	-0.000175999	-5.20799e-05
20	8.43403e-05	-0.000166033	-8.16929e-05
21	5.61328e-05	-0.000155747	-9.96144e-05
22	3.64359e-05	-0.00014497	-0.000108534
23	2.29941e-05	-0.000133683	-0.000110689
24	1.41125e-05	-0.00012222	-0.000108108
25	8.3792e-06	-0.000110438	-0.000102059
26	4.7658e-06	-9.87104e-05	-9.39446e-05
27	2.61828e-06	-8.71488e-05	-8.45305e-05
28	1.35371e-06	-7.59895e-05	-7.46358e-05
29	6.64787e-07	-6.53659e-05	-6.47011e-05
30	3.06239e-07	-5.55241e-05	-5.52179e-05
31	1.30304e-07	-4.65319e-05	-4.64016e-05
32	4.74973e-08	-3.84282e-05	-3.83807e-05
33	1.54218e-08	-3.1323e-05	-3.13076e-05
34	4.50364e-09	-2.51639e-05	-2.51594e-05
35	1.29722e-09	-1.99411e-05	-1.99398e-05
36	2.04951e-10	-1.55758e-05	-1.55756e-05
37	6.02797e-11	-1.20077e-05	-1.20076e-05
38	6.02797e-11	-9.12053e-06	-9.12047e-06
39	-0	-6.83165e-06	-6.83165e-06
40	-0	0	-0
41	-0	0	-0
42	-0	0	-0
43	-0	0	-0
44	-0	0	-0
45	-0	0	-0
46	-0	0	-0
47	-0	0	-0
48	-0	0	-0
49	-0	0	-0
50	-0	0	-0
51	-0	0	-0
52	-0	0	-0
53	-0	0	-0
54	-0	0	-0
55	-0	0	-0
56	-0	0	-0
57	-0	0	-0
58	-0	0	-0
59	-0	0	-0
60	-0	0	-0
61	-0	0	-0
62	-0	0	-0
63	-0	0	-0
64	-0	0	-0
65	-0	0	-0
66	-0	0	-0
67	-0	0	-0
68	-0	0	-0
69	-0	0	-0
70	-0	0	-0
71	-0	0	-0
72	-0	0	-0
73	-0	0	-0
74	-0	0	-0
75	-0	0	-0
76	-0	0	-0
77	-0	0	-0
78	-0	0	-0
79	-0	0	-0
80	-0	0	-0
