          99         111
          13
           4  3.852070180894839E-024  1.769772836872761E-026
          15  2.332269479880986E-024  1.073388185955932E-026
          22  3.034939097555542E-026  1.399083406153310E-028
          45  1.051809836267958E-009  4.865982256909027E-012
          50  9.669410994010156E-016  4.468442517337374E-018
          55  7.806240685151378E-031  3.593913615366782E-033
          64  1.100763371289347E-011  5.082992369941420E-014
          68  3.588037704137347E-015  1.653642793782994E-017
          84  2.021205566832208E-017  9.325627207362958E-020
          97  9.293458313612568E-017  4.279430802162991E-019
          98  1.331766010364217E-015  6.147491584486442E-018
         101  7.137144563182402E-007  3.322879470679184E-009
         108  7.350418689842843E-014  3.384347559990949E-016
          11
           2  4.271789458376833E-013  1.977879937174694E-015
           8  1.367561492042298E-011  6.355494336949006E-014
          16  2.231287796091723E-014  1.034080282345750E-016
          20  4.544667141170421E-013  2.106428540187695E-015
          31  1.643748820425368E-016  7.594791989205423E-019
          55  3.098274911024219E-013  1.432394863461545E-015
          56  1.840351102419672E-019  8.490598580686203E-022
          63  3.009261583462344E-014  1.390184768781478E-016
          83  8.654412353666733E-026  3.999921626114238E-028
          90  1.642920744705106E-019  7.588546403360868E-022
         105  2.104390044571673E-008  9.785045465479029E-011
           7
           9  4.496731299394052E-013  2.073402419367309E-015
          12  6.564523741358479E-016  3.023464598577698E-018
          21  2.725497940480730E-012  1.259444416139114E-014
          24  5.895196967051373E-016  2.722143263424377E-018
          29  3.189153917208075E-019  1.472242556836374E-021
          57  1.156856635819794E-012  5.333413805816560E-015
         107  1.722764533568612E-017  7.945554734470427E-020
          13
           3  1.002737748602215E-017  4.638727434476940E-020
           6  1.442734380022921E-006  6.816229000331425E-009
          19  1.784191805244681E-012  8.282217872194638E-015
          27  7.670463336373196E-017  3.551620965827139E-019
          33  2.188049636566602E-010  1.020157182680173E-012
          37  2.608205782008365E-015  1.207434643485406E-017
          39  2.139274560872564E-012  9.947699989410158E-015
          43  1.341077395649082E-007  6.294072979568566E-010
          49  7.184454417447655E-009  3.364995114717257E-011
          72  4.173977079860403E-008  1.965826490345175E-010
          73  1.987165672210785E-017  9.217071912166300E-020
          81  1.068678010589168E-010  4.988474785880287E-013
         106  2.260827565296293E-013  1.050793064286018E-015
          16
           1  1.031275506847716E-005  5.058782985586443E-008
          11  1.641034079368074E-009  7.888373782962893E-012
          15  1.375143712895433E-005  6.723897578421733E-008
          28  4.839632987674822E-022  2.238972993400937E-024
          30  1.130585412868887E-012  5.332709172761332E-015
