0.00	0.093	0.000
-1.00	0.251	0.000
-2.00	0.682	0.000
-3.00	1.844	0.000
-4.00	4.943	0.000
-5.00	12.959	0.000
-6.00	32.219	0.001
-7.00	72.008	0.003
-8.00	136.647	0.007
-9.00	215.979	0.014
-10.00	292.199	0.028
-11.00	353.784	0.053
-12.00	398.428	0.100
-13.00	428.815	0.191
-14.00	448.822	0.373
-15.00	461.825	0.752
-16.00	470.262	1.563
-17.00	475.716	3.301
-18.00	479.115	6.820
-19.00	480.900	12.983
-20.00	481.212	21.533
-21.00	480.077	30.984
-22.00	477.464	40.650
-23.00	473.142	51.600
-24.00	466.549	65.885
-25.00	456.739	86.021
-26.00	442.404	114.936
-27.00	422.087	155.690
-28.00	394.673	210.580
-29.00	360.080	279.799
-30.00	319.773	360.431
-31.00	276.621	446.745
-32.00	234.042	531.909
-33.00	194.960	610.076
-34.00	161.177	677.644
-35.00	133.309	733.381
-36.00	111.096	777.807
-37.00	93.798	812.403
-38.00	80.511	838.978
-39.00	70.359	859.282
-40.00	62.591	874.818
-41.00	56.606	886.787
-42.00	51.943	896.115
-43.00	48.252	903.495
-44.00	45.278	909.444
-45.00	42.836	914.328
-46.00	40.797	918.405
-47.00	39.073	921.855
-48.00	37.600	924.800
-49.00	36.334	927.332
-50.00	35.241	929.517
